exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,213,null,958,60,25.3,887,35.8,"Moira",null,615,3,200,null,null,20.2,null,1091,1338,23,null,null,null,3,null,57,976,null,353,91.6,760,197,null,3,null,null,61,2.2,null,8.4,11,null,16.2,6.6,null,null,null,65.7,5.6,45.2,null,2.5,null,57.2,6,3.2,null,2.9,27.7,null,250,11,null,135,2.4,0.6,10,12.3,null,59,18,747,15.2,27,443,27,1.9,23,null,0.8,744,"216021412",977,1245,null,9.8,null,null,null,97.8,null,6.7,705,2011,null
null,758,null,2296,106,25.2,1997,27.5,"Alexandra",null,1565,50,288,null,null,15.0,null,2403,1378,37,null,3,null,3,null,129,2478,25,896,92.7,1644,440,null,26,18,null,137,6.1,null,7.3,29,null,18.6,8.2,null,null,null,68.9,7.4,48.7,null,2.2,null,54.3,11,2.5,null,2.7,30.3,null,457,15,null,357,3.1,0.6,98,11.6,null,256,32,1673,20.6,62,740,62,1.8,45,null,0.9,1655,"204011054",2473,2719,null,9.9,13,null,null,93.9,null,7.0,1489,2011,null
null,465,null,1434,90,26.6,1107,30.2,"Beaufort",null,1097,null,210,null,null,16.2,null,1405,1217,30,null,7,null,null,null,66,1514,24,467,92.6,1014,269,null,20,4,null,90,3.2,null,7.4,26,null,10.8,11.5,null,null,null,64.4,7.2,51.3,null,2.3,null,49.3,null,2.7,null,2.9,26.5,null,312,7,null,160,4.7,0.9,57,12.9,null,61,9,1015,14.8,40,534,51,1.9,28,null,0.9,1006,"201031014",1511,1532,null,12.1,6,null,null,96.8,null,6.9,925,2011,null
null,338,null,1468,94,29.7,1394,45.0,"Golden Plains - North",null,1044,6,137,null,null,20.6,null,1581,1298,30,null,3,null,null,null,83,1495,25,483,88.5,1333,331,null,7,null,null,87,2.9,null,11.5,28,null,10.2,6.7,null,null,null,64.4,4.1,42.9,null,2.6,null,52.9,5,2.3,null,3.0,22.5,null,400,9,null,197,2.9,0.7,9,14.0,null,28,11,1132,9.0,29,611,49,1.9,29,null,1.1,1120,"201031015",1490,1788,null,10.3,14,null,null,97.1,null,7.1,1226,2011,null
null,767,null,2273,92,23.6,1903,28.4,"Euroa",null,1630,15,323,null,null,14.8,null,2337,1250,54,null,3,null,null,null,100,2448,24,895,93.0,1644,409,4,133,27,null,148,4.6,null,7.0,17,3,15.8,7.5,null,null,null,69.6,9.2,48.9,null,2.2,null,52.9,7,3.5,null,2.7,31.7,null,424,5,null,289,3.9,1.0,29,13.1,null,156,24,1652,18.2,50,597,78,1.8,45,null,0.6,1633,"204011055",2450,2586,null,10.6,20,null,null,95.4,null,7.4,1515,2011,null
null,922,null,3756,252,33.0,4292,45.5,"Kilmore - Broadford",null,3242,165,234,null,null,22.3,null,4213,1650,84,null,152,null,null,null,255,4139,173,1153,87.8,4000,892,null,164,12,null,374,6.1,null,12.2,293,null,16.2,7.6,null,null,null,62.2,5.6,31.5,null,2.7,null,48.7,11,2.4,null,3.1,19.3,null,1219,14,null,584,3.8,0.9,59,12.0,null,133,23,3203,19.6,80,965,171,1.9,90,null,0.9,3141,"204011056",4144,5376,null,8.9,29,null,null,93.9,null,7.0,3609,2011,null
null,915,null,2724,123,30.0,2907,32.1,"Mansfield (Vic.)",null,1980,188,385,null,null,16.6,null,2847,1464,47,null,12,null,9,null,213,3022,52,1031,90.2,2341,572,3,66,38,null,187,5.4,null,9.8,77,4,20.7,7.1,null,null,null,68.3,6.0,42.4,null,2.3,null,50.7,37,3.7,null,2.8,29.3,null,604,12,null,466,3.8,1.1,30,12.0,null,405,49,2052,20.8,82,820,81,1.9,66,null,0.9,2026,"204011057",3017,3877,null,9.5,24,null,null,94.6,null,7.1,2079,2011,null
null,425,null,1214,87,26.2,1176,28.5,"Nagambie",null,992,29,164,null,null,15.0,null,1336,1452,26,null,3,null,4,null,81,1408,24,470,92.1,1061,252,3,20,11,null,85,5.7,null,7.9,21,null,17.4,9.4,null,null,null,67.7,7.5,44.4,null,2.3,null,51.8,3,5.1,null,2.8,23.2,null,265,3,null,180,3.8,1.0,140,12.8,null,76,8,957,21.0,34,843,56,1.8,27,null,0.7,947,"204011058",1407,1570,null,10.6,null,null,null,94.3,null,7.3,963,2011,null
null,835,null,2236,111,35.2,2152,27.6,"Seymour",null,2260,80,76,null,null,15.4,null,1928,1233,22,null,35,null,null,null,198,2536,39,650,94.2,1917,425,7,194,16,null,284,9.8,null,5.8,64,null,109.8,10.3,null,null,null,66.1,8.1,34.3,null,2.3,null,41.8,12,4.1,null,2.9,20.5,null,435,4,null,297,3.8,0.7,32,11.5,null,159,11,1631,33.2,98,710,119,1.9,34,null,0.7,1607,"204011059",2542,2603,null,11.0,27,null,null,90.2,null,7.4,1687,2011,null
null,226,null,1330,74,31.3,1636,35.7,"Seymour Region",null,786,29,165,null,null,24.1,null,1639,1621,33,null,21,null,null,null,98,1365,48,469,90.3,1372,336,null,null,28,null,62,2.3,null,9.7,67,null,6.9,6.1,null,null,null,62.4,3.1,33.3,null,2.8,null,55.4,20,1.2,null,3.1,25.2,null,477,13,null,195,3.1,0.7,6,11.6,null,177,21,1131,29.1,15,898,37,1.9,36,null,1.3,1123,"204011060",1365,2080,null,7.0,9,null,null,97.7,null,5.9,1233,2011,null
null,32,null,81,null,46.4,64,47.1,"Upper Yarra Valley",null,75,null,null,null,null,17.1,null,56,992,null,null,null,null,null,null,3,90,6,17,83.8,68,19,null,null,null,null,12,8.8,null,16.2,6,null,null,8.3,null,null,null,67.4,1.7,39.1,null,2.2,null,33.1,null,4.4,null,3.2,22.7,null,12,null,null,7,4.4,null,3,18.2,null,3,null,50,9.2,5,704,null,1.8,3,null,1.7,51,"204011061",84,78,null,13.8,null,null,null,91.3,null,5.5,63,2011,null
null,406,null,1295,59,27.1,1077,31.0,"Yea",null,888,14,215,null,null,17.0,null,1295,1514,25,null,3,null,null,null,61,1367,23,489,90.9,960,287,null,6,6,null,68,5.2,null,9.1,18,null,33.0,10.3,null,null,null,65.2,6.1,48.0,null,2.3,null,51.9,7,3.3,null,2.7,31.6,null,268,6,null,159,3.8,1.0,53,13.0,null,85,9,934,16.6,41,712,38,1.8,23,null,0.7,921,"204011062",1368,1500,null,11.1,12,null,null,94.8,null,6.7,876,2011,null
null,1397,null,3644,160,28.3,3492,28.5,"Benalla",null,3210,303,179,null,null,16.0,null,3704,1320,50,null,3,null,null,null,232,4261,44,1279,93.7,3099,654,10,274,73,null,367,10.3,null,6.3,28,null,27.0,6.8,null,null,null,68.9,9.3,39.2,null,2.2,null,48.7,19,2.8,null,2.8,24.9,null,774,19,null,527,3.8,1.3,36,13.3,null,253,12,2780,28.2,108,775,153,1.8,79,null,1.0,2749,"204021063",4257,4318,null,10.1,30,null,null,89.7,null,7.4,2824,2011,null
null,280,null,1291,68,24.6,1197,37.5,"Benalla Region",null,782,null,335,null,null,17.0,null,1515,1398,17,null,null,null,null,null,70,1308,16,535,90.8,1104,259,null,3,3,null,50,2.6,null,9.2,7,null,12.3,5.1,null,null,null,69.3,3.9,48.9,null,2.5,null,59.1,7,1.9,null,2.8,32.0,null,312,6,null,176,3.3,1.1,17,13.9,null,59,13,1010,10.9,34,575,36,1.9,34,null,0.6,993,"204021064",1311,1753,null,9.1,null,null,null,97.4,null,7.9,1018,2011,null
null,411,null,1284,64,26.9,1385,35.6,"Rutherglen",null,991,83,145,null,null,19.9,null,1404,1412,20,null,null,null,null,null,79,1446,11,447,93.2,1238,264,null,60,18,null,98,6.3,null,6.8,3,null,null,7.2,null,null,null,64.1,7.5,39.0,null,2.4,null,52.9,3,1.6,null,2.9,29.4,null,337,9,null,195,3.6,0.4,18,11.5,null,86,18,1014,22.9,32,737,42,1.9,26,null,1.0,1002,"204021065",1445,1753,null,9.2,16,null,null,93.7,null,8.1,1152,2011,null
null,2411,null,6091,294,31.1,6411,32.0,"Wangaratta",null,5689,360,233,null,null,18.3,null,6128,1353,46,null,4,null,null,null,492,7173,61,1865,92.5,5723,1041,14,670,193,null,594,9.6,null,7.5,57,6,54.1,8.0,null,null,null,64.6,9.4,36.7,null,2.3,null,47.3,35,3.1,null,2.9,22.0,null,1513,30,null,950,3.6,0.7,53,12.4,null,393,28,4624,27.5,194,807,292,1.9,131,null,1.1,4572,"204021066",7174,7790,null,8.6,72,null,null,90.4,null,7.9,5170,2011,null
