exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,740,null,3374,214,24.7,3522,37.8,"Wangaratta Region",null,2111,13,632,null,null,19.2,null,4102,1500,78,null,4,null,3,null,198,3464,26,1269,90.1,3163,626,3,18,20,null,156,2.2,null,9.9,41,3,16.9,5.0,null,null,null,66.4,4.7,46.8,null,2.5,null,59.6,20,2.4,null,2.9,30.6,null,935,34,null,517,2.9,1.2,48,14.9,null,187,30,2701,11.8,48,557,92,1.9,88,null,1.0,2670,"204021067",3456,4793,null,8.2,22,null,null,97.8,null,8.5,2938,2011,null
null,261,null,1041,53,27.5,1162,43.8,"Chiltern - Indigo Valley",null,748,12,100,null,null,20.3,null,1147,1421,19,null,null,null,null,null,76,1088,14,350,89.9,1073,216,3,7,3,null,75,3.9,null,10.1,5,null,18.1,6.2,null,null,null,64.2,5.4,39.2,null,2.5,null,53.8,5,2.0,null,3.0,30.5,null,297,6,null,180,2.8,0.6,21,14.5,null,55,11,807,14.6,32,828,23,1.9,25,null,1.7,795,"204031070",1081,1476,null,10.9,null,null,null,96.1,null,7.2,987,2011,null
null,522,null,1669,100,27.2,1594,27.1,"Myrtleford",null,1232,37,122,null,null,16.4,null,1817,1427,30,null,null,null,null,null,113,1795,16,612,93.6,1416,295,null,75,15,null,111,7.0,null,6.4,8,null,13.4,6.2,null,null,null,69.3,8.5,46.9,null,2.3,null,53.3,5,2.5,null,2.8,25.7,null,376,6,null,221,3.3,0.8,18,13.1,null,112,16,1243,22.7,45,689,48,1.9,50,null,0.7,1232,"204031071",1799,2000,null,7.8,8,null,null,93.0,null,7.4,1288,2011,null
null,658,null,2228,90,24.0,1989,29.7,"Towong",null,1421,36,400,null,null,18.2,null,2419,1301,39,null,3,null,null,null,103,2312,23,842,93.3,1659,391,3,18,4,null,125,4.6,null,6.7,21,null,17.8,6.4,null,null,null,67.6,7.5,45.8,null,2.3,null,56.2,17,3.4,null,2.8,37.8,null,514,41,null,265,3.0,0.8,36,13.5,null,206,28,1640,20.3,30,558,51,2.0,57,null,0.9,1633,"204031072",2318,2733,null,9.1,15,null,null,95.4,null,7.0,1536,2011,null
null,1248,null,4472,248,34.0,5884,38.1,"West Wodonga",null,3937,465,173,null,null,24.2,null,5064,1563,63,null,3,null,null,null,407,5390,55,1441,91.2,5598,1187,13,419,60,null,579,10.6,null,8.8,49,null,45.4,5.2,null,null,null,60.5,4.1,22.6,4,2.6,null,49.0,33,2.2,null,3.0,19.8,null,1535,32,null,796,3.3,0.6,34,12.1,null,90,31,3982,36.5,206,981,137,1.9,118,null,1.3,3935,"204031073",5390,7022,null,9.5,42,null,null,89.4,null,8.9,5139,2011,null
null,2147,null,6471,335,35.5,8347,34.7,"Wodonga",null,6157,568,265,null,null,20.3,null,6799,1568,73,null,4,null,3,null,536,7833,80,2051,92.0,7402,1528,14,768,99,null,812,10.6,null,8.0,95,5,48.6,6.9,null,null,null,63.8,6.0,28.5,3,2.4,null,45.4,64,2.4,null,3.0,20.7,null,1910,63,null,1016,3.7,0.4,21,11.8,null,627,69,5458,34.0,275,905,278,1.9,160,null,1.2,5407,"204031074",7831,9865,null,9.3,78,null,null,89.4,null,7.8,6800,2011,null
null,273,null,1442,99,25.3,1753,43.4,"Yackandandah",null,924,9,202,null,null,22.8,null,1889,1663,26,null,null,null,null,null,93,1499,15,526,90.2,1587,282,null,26,10,null,81,3.6,null,9.8,14,null,39.8,4.5,null,null,null,62.1,5.2,39.1,null,2.7,null,59.7,8,1.5,null,3.1,34.2,null,489,21,null,259,2.4,1.0,22,12.0,null,87,22,1228,15.0,15,717,17,2.0,28,null,0.9,1211,"204031075",1499,2257,null,7.4,6,null,null,96.4,null,9.5,1481,2011,null
null,1189,null,4209,268,31.2,4662,38.7,"Drouin",null,3699,414,420,null,null,20.9,null,4873,1571,93,null,134,null,null,null,296,4889,117,1481,90.1,4255,997,5,177,14,null,407,7.3,null,9.9,240,null,17.9,7.5,null,null,null,62.3,6.5,36.0,null,2.5,null,50.5,30,2.8,null,3.0,22.1,null,1231,18,null,632,3.2,0.5,87,12.7,null,161,27,3612,21.9,131,897,183,1.9,108,null,1.0,3565,"205011076",4887,5936,null,8.6,40,null,null,92.7,null,8.2,3874,2011,null
null,477,null,2070,133,28.5,2032,38.5,"Mount Baw Baw Region",null,1499,24,367,null,null,20.0,null,2401,1578,41,null,18,null,3,null,118,2137,50,723,89.2,1835,412,null,25,null,null,131,3.6,null,10.8,53,null,8.3,6.6,null,null,null,64.8,4.6,45.7,null,2.6,null,54.8,9,2.2,null,3.0,27.9,null,595,13,null,354,3.0,1.0,25,13.1,null,132,19,1659,12.6,36,654,54,2.0,59,null,1.2,1624,"205011077",2147,2853,null,9.2,22,null,null,96.4,null,7.5,1680,2011,null
null,658,null,2485,162,29.4,2572,39.0,"Trafalgar (Vic.)",null,1852,123,276,null,null,19.2,null,2716,1468,48,null,38,null,null,null,138,2650,40,848,91.4,2346,551,null,29,11,null,190,5.3,null,8.6,68,null,14.7,8.3,null,null,null,63.9,5.9,40.4,null,2.5,null,53.3,12,2.3,null,3.0,23.5,null,663,10,null,409,3.0,0.5,3,11.7,null,121,27,1950,18.2,53,786,69,1.9,49,null,1.1,1940,"205011078",2640,3349,null,8.4,25,null,null,94.7,null,7.6,2172,2011,null
null,1661,null,5585,297,30.0,6146,34.9,"Warragul",null,4769,409,459,null,null,20.7,null,6440,1560,81,null,112,null,null,null,431,6342,103,1852,92.1,5615,1007,16,299,35,null,511,7.3,null,7.9,210,3,32.2,6.4,null,null,null,63.4,6.6,39.0,null,2.5,null,52.5,25,2.6,null,3.0,24.1,null,1652,15,null,892,2.8,0.8,46,12.5,null,293,38,4583,22.6,137,863,211,2.0,127,null,1.1,4543,"205011079",6339,7724,null,8.1,60,null,null,92.7,null,8.4,5107,2011,null
null,1652,null,4506,210,31.1,4544,29.1,"Bairnsdale",null,4049,159,197,null,null,18.7,null,4518,1420,56,null,8,null,null,null,345,5313,51,1538,92.9,4145,995,17,589,78,null,504,10.6,null,7.1,31,3,46.8,7.2,null,null,null,66.0,8.8,37.9,null,2.3,null,47.7,15,3.1,null,2.9,23.1,null,1088,27,null,639,3.3,0.7,63,12.9,null,208,37,3549,29.2,145,848,167,1.9,87,null,1.1,3519,"205021081",5317,5512,null,9.1,44,null,null,89.4,null,6.9,3745,2011,null
null,683,null,2691,143,26.5,2618,34.8,"Bruthen - Omeo",null,1762,8,339,null,null,16.9,null,2986,1337,49,null,null,null,3,null,169,2812,32,1071,90.7,2347,605,null,19,18,null,163,3.0,null,9.3,23,null,11.3,6.9,null,null,null,68.5,4.8,48.1,null,2.4,null,55.5,19,2.6,null,2.8,28.7,null,634,21,null,385,3.2,0.9,88,12.0,null,163,44,2101,13.5,53,583,71,1.9,52,null,0.8,2076,"205021082",2809,3425,null,10.0,12,null,null,97.0,null,6.8,2144,2011,null
