estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
57,0.8,50031,196,25.9,"Beaconsfield - Officer",45,7845,null,null,56029,6835,7.1,41,4722,20.6,6400,921,54,49400,null,0.22,null,86,59704,358.6,14004,18.6,665,29.1,3.4,153,23809,null,21.9,1.72,3.93,0.422,4842,0.44,23798,91,408.1,null,null,28.4,50424,183,326,null,"212011287",38.0,80.8,590,29,10.6,778,7.2,16.4,null,null,null,2015,null,null,143,25.1,11858,43,39
59,1.1,47348,176,25.0,"Montrose",48,10051,null,null,53784,4025,9.2,45,3072,24.5,3630,640,40,47748,null,0.2,null,49,57433,195.2,13813,20.2,344,30.5,2.3,287,22125,null,16.9,1.73,4.38,0.442,2975,0.4,26419,60,231.2,null,null,27.9,39032,132,265,null,"211051280",29.9,75.4,749,null,13.6,405,8.5,10.3,null,null,null,2015,null,null,103,22.7,14474,47,41
59,1.2,46083,715,27.6,"Mooroolbark",44,4775,null,null,51752,12665,7.2,42,2229,23.2,11805,1601,167,46375,null,0.2,null,210,52451,610.9,15067,15.8,1402,26.4,7.6,183,21280,null,33.6,1.7,3.99,0.402,8900,0.43,20967,229,664.3,null,null,29.0,20699,549,657,null,"211051281",42.5,80.6,2205,90,10.5,1635,4.8,13.6,null,null,null,2015,null,null,359,20.3,13733,44,39
59,1.8,46304,230,24.1,"Mount Dandenong - Olinda",49,8637,null,null,61600,6004,9.8,48,2715,26.4,5322,1097,53,48245,null,0.17,null,64,61502,327.8,12566,22.1,431,33.3,5.1,380,22767,null,21.1,1.96,5.31,0.486,4476,0.37,19262,64,369.3,null,null,22.8,28053,222,458,null,"211051282",38.7,71.7,847,25,15.9,509,9.5,12.8,null,null,null,2015,null,null,226,26.7,9631,50,44
58,0.9,42001,201,28.9,"Bunyip - Garfield",51,8124,null,null,50250,4937,11.9,46,3377,26.3,4281,1135,53,42600,null,0.19,null,62,50989,215.1,10210,17.9,445,28.9,2.3,339,19905,null,20.2,1.87,4.43,0.441,3521,0.42,17782,65,251.7,null,null,25.0,44007,195,295,null,"212011288",28.6,71.1,843,null,15.4,561,5.8,13.0,null,null,null,2015,null,null,115,19.8,9920,48,43
58,1.2,46246,419,26.3,"Emerald - Cockatoo",47,9213,null,null,54372,10586,8.9,45,3431,24.3,9649,1783,117,45865,null,0.19,null,141,57451,524.6,16728,20.1,1033,30.8,8.2,234,27924,null,37.1,1.82,4.47,0.45,7394,0.41,20831,128,608.2,null,null,25.6,50661,381,601,null,"212011289",68.1,75.7,1438,42,13.6,1216,7.7,30.4,null,null,null,2015,null,null,293,23.8,10927,47,42
57,0.8,41052,225,29.4,"Koo Wee Rup",53,8791,null,null,45745,3912,13.9,44,10035,27.3,3495,1006,67,40000,null,0.17,null,96,48738,159.9,10464,18.5,504,29.2,1.4,221,18272,null,18.1,1.79,4.37,0.446,2555,0.41,18039,40,190.7,null,null,26.3,102319,188,180,null,"212011290",22.5,71.6,732,31,13.5,620,6.7,18.4,null,null,null,2015,null,null,75,17.0,8868,47,40
58,1.1,45116,260,27.5,"Mount Evelyn",46,5288,null,null,50452,5664,10.0,43,3220,24.2,5227,935,76,45110,null,0.2,null,81,51878,263.7,10812,16.3,619,26.8,3.7,180,25370,null,22.7,1.73,4.14,0.411,3844,0.42,24325,72,293.8,null,null,28.3,24123,196,257,null,"211051283",20.3,77.0,860,25,11.2,737,5.0,6.2,null,null,null,2015,null,null,146,19.9,16416,45,40
58,0.8,46929,119,24.9,"Narre Warren North",50,20554,null,null,55229,4804,8.8,46,10563,24.9,4027,779,46,42511,null,0.17,null,null,66626,222.4,17759,24.3,263,36.0,3.1,900,24592,null,24.6,2.01,5.03,0.505,3859,0.4,31592,66,320.1,null,null,21.9,59027,93,419,null,"212021299",79.3,66.9,538,null,22.8,310,10.7,24.7,null,null,null,2015,null,null,128,28.2,14658,48,43
58,1.1,44305,493,29.0,"Endeavour Hills - North",44,5379,null,null,50797,6387,8.7,42,2374,24.1,5965,903,196,45288,null,0.21,null,103,52217,303.0,10047,18.7,836,28.9,3.0,172,20738,null,17.4,1.71,3.99,0.422,4332,0.43,19285,192,333.5,null,null,28.5,22610,424,300,null,"212021453",23.3,80.1,1133,59,9.6,992,7.4,6.8,null,null,null,2015,null,null,146,18.5,13183,44,40
58,1.3,48119,247,25.8,"Upwey - Tecoma",45,3973,null,null,55160,6001,7.7,44,1672,23.1,5763,920,53,47973,null,0.19,null,61,55757,317.9,16070,16.2,549,27.0,4.9,209,27479,null,17.0,1.75,4.25,0.414,4175,0.41,18431,117,334.6,null,null,27.0,14346,259,336,null,"211051284",16.6,80.5,698,31,9.8,627,4.6,4.8,null,null,null,2015,null,null,177,24.2,8834,47,42
58,1.0,43174,563,28.6,"Endeavour Hills - South",45,2918,null,null,49003,7565,9.0,42,3442,26.0,7028,1077,224,44834,null,0.2,null,117,48526,344.4,15643,15.8,953,26.4,3.4,200,21382,null,20.7,1.71,4.11,0.408,5257,0.42,19217,219,367.1,null,null,28.3,27328,484,400,null,"212021454",15.3,80.0,1292,67,9.4,1131,4.7,10.9,null,null,null,2015,null,null,160,17.2,15296,44,39
58,1.0,44475,153,28.2,"Wandin - Seville",49,11095,null,null,48198,4596,11.5,44,2563,24.7,4099,899,46,41952,null,0.21,null,65,54421,197.6,11637,20.5,444,31.1,2.7,280,23417,null,23.2,1.76,4.21,0.449,3269,0.42,25757,48,250.1,null,null,26.9,107738,141,280,null,"211051285",36.3,73.6,658,21,13.3,571,7.9,30.2,null,null,null,2015,null,null,116,20.2,15963,46,41
