estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
58,1.4,50183,242,26.0,"Tullamarine",40,3647,null,null,52604,3502,6.2,40,1668,21.9,3380,416,140,50419,null,0.2,null,69,53305,177.8,13137,14.0,369,24.0,2.4,131,23511,null,7.3,1.59,3.78,0.374,2246,0.42,17524,59,186.7,null,null,33.1,25877,290,120,509,"210051250",8.2,83.1,999,28,8.8,448,3.8,3.1,null,299,null,2017,null,26,102,18.9,11944,41,38
60,1.8,56942,126,21.5,"Strathmore",45,13834,null,null,71428,6132,5.4,46,3356,21.8,5395,720,53,56815,null,0.16,null,19,75026,385.4,23443,21.3,193,33.1,6.1,762,29311,null,21.8,1.94,5.38,0.478,4952,0.36,30257,80,460.1,null,null,23.0,61029,119,689,183,"210011231",68.5,72.7,723,null,19.4,270,7.6,42.0,null,214,null,2017,null,null,209,33.7,12277,47,42
59,1.8,54505,168,22.3,"Gisborne",47,10216,null,null,68353,7918,6.7,45,3930,22.9,6938,1111,86,55495,null,0.16,null,65,69011,474.2,20521,19.3,396,30.8,9.8,293,32418,null,22.3,1.95,5.37,0.466,5969,0.36,20033,73,546.4,null,null,22.3,35391,144,608,274,"210021232",61.0,74.8,1123,18,16.1,539,6.4,21.5,null,270,null,2017,null,10,301,32.5,10436,46,42
60,1.8,56058,36,21.3,"Macedon",49,20118,null,null,76868,2079,9.3,48,5867,23.0,1715,384,7,56715,null,0.14,null,15,82834,131.8,19800,27.1,67,38.4,2.1,731,26300,null,12.8,2.06,5.99,0.531,1623,0.34,33308,7,172.2,null,null,20.5,122878,26,217,55,"210021233",32.7,65.8,299,null,22.0,96,13.7,26.7,null,39,null,2017,null,null,81,35.3,11505,50,45
59,1.0,48607,284,26.5,"Coburg North",40,5063,null,null,57267,4649,7.8,38,3523,23.2,4422,727,115,50136,null,0.2,null,49,57651,253.2,15694,16.9,329,27.5,1.9,163,24185,null,12.5,1.82,4.58,0.422,3178,0.4,17128,102,268.0,null,null,26.0,29308,265,193,395,"210031236",16.1,80.9,841,27,9.6,422,6.0,5.7,null,274,null,2017,null,24,80,24.3,9960,40,36
58,0.7,40000,471,28.1,"Fawkner",36,4154,null,null,48785,6358,11.9,37,5504,30.6,5689,1213,311,43315,null,0.17,null,103,47835,277.5,9846,17.0,973,28.2,2.6,142,25109,null,21.3,1.86,4.82,0.438,3683,0.38,17568,181,304.1,null,null,24.8,30148,473,198,843,"210031237",15.3,76.5,2019,57,10.1,1202,5.3,6.0,null,695,null,2017,null,168,104,16.5,11813,40,35
60,1.3,51044,178,23.2,"Ringwood North",46,8911,null,null,65536,6098,6.3,46,2816,24.6,5338,737,36,53320,null,0.15,null,26,64903,349.8,16565,19.5,248,31.1,4.5,416,25638,null,16.2,1.97,5.38,0.471,4813,0.37,21936,71,395.8,null,null,22.8,40121,98,601,188,"211031268",42.9,74.9,891,6,17.0,363,6.6,24.1,null,188,null,2017,null,14,174,29.4,11863,47,42
59,1.2,53302,561,23.5,"Pascoe Vale",39,5337,null,null,60971,14023,6.1,38,2956,21.6,13289,1757,221,54371,null,0.19,null,137,61327,810.2,17238,16.2,988,26.9,8.5,184,25228,null,35.3,1.75,4.41,0.413,10042,0.4,20083,270,860.0,null,null,27.5,31389,568,805,1035,"210031239",53.6,81.7,2448,50,10.4,1268,5.0,25.3,null,648,null,2017,null,50,337,27.4,10608,40,36
59,1.1,44033,865,28.4,"Glenroy",34,3578,null,null,50035,11963,9.7,35,3870,26.3,11211,1963,420,45473,null,0.19,null,181,50127,560.9,14259,15.9,1350,26.7,5.6,123,23364,null,35.1,1.75,4.31,0.417,7388,0.41,17884,250,599.7,null,null,27.4,32434,771,443,1334,"210031438",26.4,80.3,2781,81,8.3,1644,4.7,14.4,null,920,null,2017,null,171,239,17.9,12432,37,34
58,1.3,47312,238,26.2,"Hadfield",38,5420,null,null,54695,2786,9.2,40,3468,25.0,2527,403,118,49701,null,0.18,null,47,53617,138.2,15387,15.7,368,26.5,1.6,239,25575,null,8.0,1.78,4.5,0.413,1797,0.4,19772,67,149.4,null,null,27.7,29095,207,122,361,"210031440",9.7,77.4,757,21,11.4,449,4.9,3.5,null,248,null,2017,null,49,62,21.1,14206,42,37
66,1.2,56136,120,23.8,"Gowanbrae",46,7785,null,null,65296,1797,5.7,42,2644,18.9,1645,199,61,57520,null,0.21,null,24,65536,107.4,13229,16.3,191,27.1,1.1,210,21963,null,4.1,1.73,4.05,0.408,1296,0.43,20470,34,117.8,null,null,27.1,31461,109,132,185,"210031439",10.1,79.2,386,11,13.6,231,4.9,4.2,null,131,null,2017,null,21,49,30.1,12087,44,40
57,0.4,51754,64,26.2,"Mickleham - Yuroke",36,8670,null,null,56433,3118,7.4,35,3151,19.1,2835,478,56,52507,null,0.25,null,35,57858,160.0,10120,16.4,224,26.2,0.5,70,16203,null,6.6,1.59,3.43,0.38,1988,0.46,13874,25,180.4,null,null,34.2,480941,97,85,145,"210051445",17.2,82.7,108,10,9.0,285,6.1,40.9,null,90,null,2017,null,27,29,20.5,8679,36,33
56,1.1,34939,913,31.7,"Broadmeadows",33,2153,null,null,38944,5159,13.9,34,5619,34.3,4977,1062,559,35159,null,0.17,null,249,39929,193.8,10000,15.6,1330,26.5,2.0,68,19386,null,17.2,1.77,4.74,0.42,2359,0.37,16187,230,206.0,null,null,24.6,36825,1172,90,1321,"210051242",5.1,79.1,1379,132,5.0,1553,4.6,3.3,null,829,null,2017,null,259,102,9.4,12952,36,33
