exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
19.7,36,null,82,null,38.2,57,51.7,"Upper Yarra Valley",16.7,67,null,null,4.8,55,17.8,2,52,899,null,1,null,22.7,null,28,7,84,null,19,79.2,56,19,null,null,null,79.0,null,4.1,34.8,20.8,null,null,null,14.6,50,2,65.5,63.7,4.5,33.3,null,1.9,52.3,39.5,null,4.8,null,2.9,19.1,53.5,12,null,12,14,3.8,null,null,16.6,4,null,null,46,10.3,null,515,6,1.8,null,1,null,46,"204011061",82,67,1,18.5,null,29.8,58.5,95.9,3,8.3,53,2016,3
21.6,456,9.1,1339,58,27.2,1082,30.3,"Yea",17.5,963,15,169,3.5,1102,15.1,5,1241,1529,16,4,8,21.7,9,569,47,1419,15,495,92.7,969,325,null,26,3,24.3,82,6.2,30.3,7.3,15,null,17.3,11.7,100,4,75.1,63.1,6.5,48.4,null,2.2,32.6,49.5,3,3.5,24,2.8,31.7,25.3,252,4,203,175,4.5,0.8,22,13.4,5,74,12,944,16.8,34,958,38,1.9,26,4,0.5,930,"204011062",1411,1465,4,11.7,11,21.3,11.7,93.8,5,9.4,910,2016,5
24.2,1532,8.7,3833,173,29.3,3289,27.4,"Benalla",15.3,3310,65,161,3.5,3503,14.2,2,3433,1347,33,2,3,35.0,29,1903,197,4325,26,1332,95.4,2987,741,6,382,41,16.6,360,10.4,16.8,4.6,30,3,37.7,10.1,65,2,72.8,66.8,9.6,39.8,3,2.1,16.5,46.4,12,3.4,66,2.7,25.1,3.4,626,10,524,465,4.3,1.6,29,13.2,2,183,24,2699,27.9,121,897,158,1.8,50,1,0.6,2675,"204021063",4338,3993,2,10.6,40,23.7,4.0,89.6,2,8.2,2767,2016,3
23.3,282,12.9,1267,73,24.3,1197,38.1,"Benalla Region",22.5,771,null,272,1.5,1073,16.0,6,1464,1391,31,5,3,17.3,7,649,59,1291,8,539,91.2,1077,293,null,null,3,19.2,48,1.5,24.6,8.8,9,null,11.5,12.0,68,6,80.2,64.4,4.1,47.7,null,2.4,30.1,58.7,3,2.2,23,2.8,30.4,22.3,286,10,140,185,2.4,0.5,14,13.6,8,66,18,995,11.5,26,636,36,1.8,29,5,0.5,982,"204021064",1288,1704,5,10.7,null,18.4,null,98.5,8,7.0,1012,2016,7
23.8,444,12.7,1363,71,28.5,1399,35.4,"Rutherglen",19.0,1106,21,127,2.1,1216,17.8,3,1405,1376,11,3,3,27.5,6,847,70,1521,10,470,94.6,1295,289,null,125,13,18.0,119,6.8,16.9,5.4,13,null,16.0,8.6,59,4,76.9,64.5,6.6,40.5,null,2.3,19.0,50.2,3,2.7,21,2.8,29.9,10.3,316,3,191,200,4.5,0.4,14,13.2,5,74,3,1051,21.3,37,823,47,1.8,26,3,1.0,1034,"204021065",1529,1760,3,10.2,15,20.8,10.5,93.2,4,8.3,1215,2016,4
23.7,2528,11.6,6335,277,31.7,6554,30.5,"Wangaratta",16.5,5796,1057,239,3.9,5904,17.9,3,6094,1382,37,3,3,32.3,20,4372,394,7495,67,2050,95.1,5976,1387,12,63,133,15.7,616,10.6,15.9,4.9,56,null,39.0,10.0,56,3,73.7,62.9,9.7,36.3,3,2.3,12.3,45.2,29,3.9,120,2.9,23.1,3.2,1494,16,1017,895,3.9,1.0,19,12.8,3,372,27,4802,28.2,214,967,291,1.8,111,2,0.9,4752,"204021066",7494,7862,3,9.5,77,22.5,4.0,89.4,2,8.4,5512,2016,4
23.5,786,17.2,3394,236,24.6,3549,37.1,"Wangaratta Region",23.0,2146,8,588,2.1,2812,19.0,6,4012,1530,68,6,3,17.8,16,1976,155,3482,22,1284,92.2,3203,687,7,12,11,21.0,143,2.5,18.5,7.8,25,4,7.5,10.0,60,7,79.8,62.1,4.8,47.8,null,2.5,24.4,58.8,12,2.6,63,2.9,30.7,16.8,889,32,418,522,2.9,0.7,41,14.1,8,200,28,2661,12.0,69,695,85,1.9,76,6,0.6,2622,"204021067",3471,4756,6,8.9,27,18.2,12.5,97.5,8,8.3,3025,2016,7
null,null,null,null,null,null,null,null,"Moorabbin Airport",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031192",null,null,null,null,null,null,16.2,null,null,null,null,2016,null
15.6,935,7.7,2717,128,29.8,2715,29.3,"Bright - Mount Beauty",13.6,2018,91,370,3.0,2414,15.8,6,2767,1466,25,5,5,15.9,57,1133,189,3046,38,1044,93.8,2153,646,4,168,46,19.2,186,7.2,47.3,6.2,61,null,11.9,11.8,100,6,80.6,65.6,6.0,44.1,null,2.2,19.6,50.8,39,3.0,59,2.8,31.9,5.2,590,25,391,512,3.4,1.1,17,10.7,5,371,73,2032,22.4,98,1636,72,1.8,48,5,1.1,2020,"204031069",3050,3678,5,10.0,11,16.5,4.0,92.8,4,5.9,1930,2016,7
24.7,276,16.8,1086,73,27.9,1206,44.8,"Chiltern - Indigo Valley",24.6,773,5,89,2.8,926,19.4,3,1173,1507,29,5,null,20.9,14,671,42,1152,8,389,91.9,1129,286,null,23,null,16.0,59,3.3,13.6,8.1,3,null,null,9.0,51,5,80.7,61.4,5.3,39.0,null,2.5,25.9,51.9,null,3.0,13,2.9,30.0,26.7,281,6,152,206,4.0,0.6,23,13.4,7,29,4,855,12.8,30,959,39,1.8,19,4,0.9,841,"204031070",1151,1526,5,11.1,null,16.5,8.1,96.7,7,8.9,1083,2016,4
22.2,590,10.1,1745,87,27.4,1592,29.2,"Myrtleford",17.6,1330,67,135,3.6,1480,14.8,2,1714,1490,16,3,null,30.7,15,782,88,1847,20,613,93.1,1435,323,null,3,14,14.6,107,7.2,19.5,6.9,10,null,29.1,9.9,95,3,72.7,67.6,8.7,44.3,null,2.3,19.2,51.5,3,4.1,42,2.8,26.7,6.5,344,8,216,257,3.9,0.6,15,12.5,4,105,13,1237,21.6,37,806,59,1.9,38,2,0.7,1228,"204031071",1845,2041,3,8.6,19,23.9,6.1,92.8,3,7.1,1330,2016,3
21.1,705,10.2,2248,80,25.2,1917,30.0,"Towong",18.7,1500,24,377,3.5,1928,15.5,5,2310,1256,27,4,null,24.3,15,895,86,2317,22,862,95.0,1640,419,null,12,7,20.9,110,4.4,26.0,5.0,17,null,10.6,10.2,70,5,74.1,66.0,7.4,46.0,null,2.3,25.4,55.2,10,3.5,41,2.8,36.1,15.1,465,35,231,288,2.7,1.3,25,14.2,5,189,27,1577,19.1,53,655,49,1.9,44,4,0.5,1567,"204031072",2324,2649,4,9.5,16,22.4,2.0,95.6,5,7.9,1532,2016,5
26.4,1316,15.1,4744,245,33.4,5984,35.2,"West Wodonga",20.4,4059,408,199,1.9,4347,22.1,3,4986,1503,49,3,3,25.7,12,3315,362,5419,44,1559,95.0,5730,1285,11,228,49,14.2,563,10.6,12.3,5.0,52,null,17.1,7.0,60,4,83.5,61.4,5.0,26.1,6,2.5,10.7,47.9,27,2.0,86,3.0,20.6,6.8,1395,29,735,675,3.7,0.7,21,12.5,4,90,25,4001,36.0,157,1105,187,1.9,62,3,0.9,3948,"204031073",5413,6955,3,9.9,37,14.5,7.6,89.4,4,8.6,5328,2016,4
24.6,2410,15.4,7572,375,35.7,9616,33.9,"Wodonga",18.1,6858,1081,329,3.0,6980,20.5,4,7679,1546,77,3,11,26.7,66,5097,557,8846,95,2412,94.6,8738,1966,21,97,102,12.9,843,11.2,15.2,5.4,86,null,62.0,8.9,65,4,80.0,61.9,5.3,27.4,null,2.4,9.9,45.6,48,2.8,171,2.9,21.2,6.4,2167,41,1189,1082,3.8,0.6,24,12.6,4,594,70,6210,35.4,290,1110,323,1.9,112,3,1.0,6139,"204031074",8840,11239,4,9.5,94,17.0,7.1,88.8,3,7.8,8092,2016,5
22.2,313,21.9,1531,98,25.9,1759,39.2,"Yackandandah",26.8,967,24,186,2.2,1267,21.3,6,1852,1702,30,7,3,15.6,6,937,76,1582,11,559,93.7,1585,360,3,6,3,16.7,92,5.2,13.6,6.3,24,null,6.9,5.9,75,8,84.3,62.9,4.9,41.4,null,2.7,24.2,58.4,14,2.4,21,3.0,36.0,25.8,467,17,193,252,2.4,0.6,18,13.0,8,99,16,1263,16.2,27,958,29,1.9,27,6,0.9,1241,"204031075",1585,2248,7,8.6,null,13.5,14.0,94.8,8,9.0,1501,2016,7
26.3,1447,13.2,5238,325,30.6,5436,38.6,"Drouin",21.3,4314,239,412,2.5,4667,20.4,2,5594,1602,77,4,110,25.0,21,2964,247,5807,115,1783,91.7,5115,1379,5,213,12,14.1,456,9.3,14.1,8.3,219,3,20.3,9.2,80,4,80.6,60.8,6.2,34.9,3,2.5,28.7,49.9,17,2.5,99,3.0,21.3,13.6,1448,19,744,742,3.7,0.4,96,12.5,6,135,26,4285,23.6,143,1117,227,1.9,75,3,1.2,4215,"205011076",5807,6782,4,9.5,45,16.9,7.3,90.7,5,8.5,4780,2016,3
