estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,256,null,"Tullamarine",null,null,null,null,null,null,null,null,1366,null,null,null,148,null,null,null,null,62,null,null,null,null,369,null,null,null,null,null,null,null,null,null,null,null,null,54,null,null,null,null,22531,296,128,496,"210051250",null,null,964,19,null,436,null,2.9,null,322,null,2018,null,26,null,null,null,null,null
null,null,null,133,null,"Strathmore",null,null,null,null,null,null,null,null,2845,null,null,null,53,null,null,null,null,23,null,null,null,null,187,null,null,null,null,null,null,null,null,null,null,null,null,67,null,null,null,null,51893,113,681,191,"210011231",null,null,704,19,null,256,null,35.3,null,223,null,2018,null,null,null,null,null,null,null
null,null,null,170,null,"Gisborne",null,null,null,null,null,null,null,null,4775,null,null,null,89,null,null,null,null,66,null,null,null,null,372,null,null,null,null,null,null,null,null,null,null,null,null,59,null,null,null,null,48114,141,673,280,"210021232",null,null,1130,20,null,512,null,32.4,null,285,null,2018,null,8,null,null,null,null,null
null,null,null,41,null,"Macedon",null,null,null,null,null,null,null,null,5155,null,null,null,14,null,null,null,null,14,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,7,null,null,null,null,100734,26,236,56,"210021233",null,null,307,null,null,96,null,23.8,null,56,null,2018,null,null,null,null,null,null,null
null,null,null,912,null,"Cranbourne",null,null,null,null,null,null,null,null,6880,null,null,null,361,null,null,null,null,362,null,null,null,null,1762,null,null,null,null,null,null,null,null,null,null,null,null,177,null,null,null,null,41088,891,309,1596,"212031300",null,null,1854,128,null,2127,null,12.7,null,744,null,2018,null,128,null,null,null,null,null
null,null,null,279,null,"Coburg North",null,null,null,null,null,null,null,null,3878,null,null,null,119,null,null,null,null,51,null,null,null,null,321,null,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,38724,254,263,356,"210031236",null,null,801,21,null,413,null,10.2,null,281,null,2018,null,25,null,null,null,null,null
null,null,null,454,null,"Fawkner",null,null,null,null,null,null,null,null,4884,null,null,null,294,null,null,null,null,84,null,null,null,null,934,null,null,null,null,null,null,null,null,null,null,null,null,180,null,null,null,null,49967,457,243,831,"210031237",null,null,1907,50,null,1164,null,12.1,null,667,null,2018,null,130,null,null,null,null,null
null,null,null,121,null,"Gowanbrae",null,null,null,null,null,null,null,null,3693,null,null,null,61,null,null,null,null,24,null,null,null,null,173,null,null,null,null,null,null,null,null,null,null,null,null,28,null,null,null,null,25269,109,130,178,"210031439",null,null,373,14,null,219,null,3.3,null,129,null,2018,null,21,null,null,null,null,null
null,null,null,189,null,"Ringwood North",null,null,null,null,null,null,null,null,3362,null,null,null,32,null,null,null,null,31,null,null,null,null,239,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,37057,94,642,194,"211031268",null,null,853,null,null,333,null,23.8,null,197,null,2018,null,7,null,null,null,null,null
null,null,null,550,null,"Pascoe Vale",null,null,null,null,null,null,null,null,2648,null,null,null,218,null,null,null,null,138,null,null,null,null,949,null,null,null,null,null,null,null,null,null,null,null,null,239,null,null,null,null,36255,506,885,1000,"210031239",null,null,2350,47,null,1210,null,32.1,null,655,null,2018,null,55,null,null,null,null,null
null,null,null,847,null,"Glenroy",null,null,null,null,null,null,null,null,3089,null,null,null,446,null,null,null,null,150,null,null,null,null,1251,null,null,null,null,null,null,null,null,null,null,null,null,201,null,null,null,null,31848,757,474,1275,"210031438",null,null,2687,80,null,1546,null,15.1,null,934,null,2018,null,157,null,null,null,null,null
null,null,null,227,null,"Hadfield",null,null,null,null,null,null,null,null,5226,null,null,null,118,null,null,null,null,38,null,null,null,null,337,null,null,null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,44480,204,143,347,"210031440",null,null,727,18,null,422,null,6.4,null,257,null,2018,null,45,null,null,null,null,null
null,null,null,68,null,"Mickleham - Yuroke",null,null,null,null,null,null,null,null,23079,null,null,null,66,null,null,null,null,32,null,null,null,null,241,null,null,null,null,null,null,null,null,null,null,null,null,26,null,null,null,null,58011,100,153,156,"210051445",null,null,117,14,null,296,null,8.9,null,107,null,2018,null,32,null,null,null,null,null
null,null,null,459,null,"Bayswater",null,null,null,null,null,null,null,null,2679,null,null,null,102,null,null,null,null,131,null,null,null,null,669,null,null,null,null,null,null,null,null,null,null,null,null,111,null,null,null,null,27765,361,373,753,"211011251",null,null,1504,42,null,859,null,10.4,null,311,null,2018,null,41,null,null,null,null,null
null,null,null,923,null,"Broadmeadows",null,null,null,null,null,null,null,null,5733,null,null,null,594,null,null,null,null,231,null,null,null,null,1302,null,null,null,null,null,null,null,null,null,null,null,null,226,null,null,null,null,33867,1176,101,1371,"210051242",null,null,1321,121,null,1515,null,3.4,null,860,null,2018,null,251,null,null,null,null,null
null,null,null,304,null,"Knoxfield - Scoresby",null,null,null,null,null,null,null,null,3266,null,null,null,98,null,null,null,null,100,null,null,null,null,660,null,null,null,null,null,null,null,null,null,null,null,null,148,null,null,null,null,27234,310,622,477,"211011254",null,null,1571,23,null,891,null,16.9,null,337,null,2018,null,37,null,null,null,null,null
null,null,null,1100,null,"Campbellfield - Coolaroo",null,null,null,null,null,null,null,null,5001,null,null,null,982,null,null,null,null,215,null,null,null,null,1557,null,null,null,null,null,null,null,null,null,null,null,null,302,null,null,null,null,46556,1117,126,1272,"210051243",null,null,2193,107,null,1845,null,5.9,null,1376,null,2018,null,305,null,null,null,null,null
