estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
59,2.0,52024,null,22.3,"Strathmore",47,13174,null,null,63505,5706,5.3,46,3047,22.6,4956,669,null,50013,null,0.17,null,null,68570,314.7,19754,21.3,261,33.1,7.7,1128,29096,null,18.7,1.93,5.15,0.478,4606,0.38,27908,null,391.3,null,null,23.1,24997,null,592,null,"210011231",60.7,72.0,null,null,20.3,325,7.6,14.8,null,null,null,2014,null,null,264,32.1,11007,47,42
59,2.0,48603,null,22.9,"Gisborne",47,9739,null,null,60250,7080,6.5,45,4053,24.5,6172,979,null,49475,null,0.17,null,null,61950,371.9,20872,19.9,555,31.4,8.2,361,28925,null,17.4,1.92,5.22,0.468,5323,0.37,17808,null,438.6,null,null,22.9,37328,null,541,null,"210021232",51.8,74.7,null,null,16.1,605,6.9,20.2,null,null,null,2014,null,null,282,29.7,7502,46,42
60,2.3,49249,null,22.6,"Macedon",50,15883,null,null,69268,2028,8.9,49,3155,24.5,1647,342,null,48739,null,0.16,null,null,74070,114.1,19028,28.6,104,39.9,2.5,793,25490,null,10.8,2.07,5.7,0.539,1611,0.36,31592,null,150.2,null,null,21.1,62752,null,195,null,"210021233",25.6,66.5,null,null,21.4,118,14.5,12.2,null,null,null,2014,null,null,97,31.8,10359,51,45
60,1.9,46858,null,24.7,"Riddells Creek",49,6469,null,null,57520,2457,7.1,46,3542,24.2,2203,375,null,48646,null,0.19,null,null,57388,126.7,18731,17.8,184,28.9,2.4,279,28690,null,5.5,1.89,4.88,0.442,1834,0.39,14614,null,141.0,null,null,24.2,18358,null,155,null,"210021234",11.9,77.6,null,null,12.9,218,5.6,2.8,null,null,null,2014,null,null,85,26.9,6576,47,43
58,1.0,43946,null,26.3,"Coburg North",40,4915,null,null,50329,3742,8.3,39,2888,25.5,3522,566,null,45250,null,0.2,null,null,51114,177.3,11917,16.8,383,27.4,1.5,239,18055,null,9.5,1.78,4.37,0.422,2532,0.41,16843,null,191.3,null,null,27.4,53000,null,142,null,"210031236",12.4,80.5,null,null,9.6,454,5.6,7.5,null,null,null,2014,null,null,83,20.7,10282,41,37
58,0.9,37818,null,29.3,"Fawkner",38,4646,null,null,44514,5495,11.2,38,3117,30.7,4916,902,null,39712,null,0.17,null,null,44046,218.8,9999,16.6,1116,27.7,1.8,250,16030,null,14.8,1.81,4.7,0.43,3283,0.38,16416,null,242.0,null,null,24.6,55769,null,166,null,"210031237",15.3,76.2,null,null,11.1,1233,5.1,9.3,null,null,null,2014,null,null,114,15.4,12898,42,36
60,1.5,48882,null,24.8,"Pascoe Vale",41,6082,null,null,54908,12296,6.1,39,1870,22.2,11515,1464,null,49469,null,0.2,null,null,56207,632.3,15854,16.8,1111,27.3,7.7,329,21750,null,26.2,1.73,4.22,0.415,8906,0.41,17925,null,691.1,null,null,27.9,23337,null,669,null,"210031239",54.2,80.6,null,null,11.4,1259,5.5,15.6,null,null,null,2014,null,null,355,25.1,10246,41,36
59,1.3,52826,null,22.4,"Gowanbrae",44,8267,null,null,60669,1681,5.4,41,2576,21.1,1504,189,null,54835,null,0.18,null,null,61071,91.2,9979,18.2,204,28.2,0.8,299,18025,null,2.7,1.73,4.34,0.42,1205,0.4,14067,null,102.7,null,null,26.7,32032,null,90,null,"210031439",10.0,80.3,null,null,12.7,231,6.8,2.9,null,null,null,2014,null,null,45,29.9,9456,43,39
59,1.2,40922,null,28.5,"Glenroy",36,3186,null,null,45895,9986,8.8,36,4200,27.3,9364,1401,null,41600,null,0.18,null,null,45819,429.8,12601,15.3,1463,25.8,4.4,243,19929,null,22.7,1.74,4.34,0.409,6199,0.4,16209,null,457.6,null,null,27.7,28183,null,349,null,"210031438",19.8,80.5,null,null,9.1,1654,4.4,9.8,null,null,null,2014,null,null,221,16.4,12230,39,34
58,1.3,41394,null,26.4,"Hadfield",39,4019,null,null,48434,2546,9.8,40,1594,28.4,2276,337,null,44621,null,0.15,null,null,46872,110.2,14413,16.1,397,26.7,1.4,260,23528,null,6.4,1.75,4.73,0.42,1656,0.37,19122,null,119.3,null,null,28.0,13667,null,98,null,"210031440",6.7,76.3,null,null,12.2,449,4.9,1.3,null,null,null,2014,null,null,59,17.2,15823,43,38
51,1.1,35044,null,32.7,"Meadow Heights",40,2364,null,null,38038,5244,13.7,38,9290,32.5,4888,949,null,35834,null,0.22,null,null,38364,185.9,9907,14.4,1909,24.7,1.2,122,12504,null,16.5,1.67,3.97,0.392,2342,0.42,17428,null,201.2,null,null,26.3,34154,null,53,null,"210051247",5.5,79.0,null,null,5.6,2077,3.9,1.8,null,null,null,2014,null,null,98,8.4,15966,40,35
55,1.5,36033,null,32.8,"Broadmeadows",36,1833,null,null,38108,4372,13.2,36,1380,30.9,4227,763,null,35855,null,0.21,null,null,39141,161.1,10000,14.7,1409,25.0,2.4,123,20255,null,12.2,1.64,4.02,0.391,1987,0.41,15994,null,171.1,null,null,27.7,11715,null,61,null,"210051242",3.6,80.3,null,null,4.7,1529,4.1,0.7,null,null,null,2014,null,null,118,8.6,12885,39,35
null,null,46189,null,27.1,"Mickleham - Yuroke",48,11019,null,null,50997,1054,6.7,44,6674,22.8,887,174,null,45028,null,0.19,null,null,52065,45.2,null,18.9,191,29.9,null,526,null,null,2.2,1.71,3.87,0.481,756,0.44,12604,null,54.9,null,null,28.4,130912,null,54,null,"210051445",8.3,71.6,null,null,20.2,222,6.5,7.1,null,null,null,2014,null,null,null,21.7,5180,46,40
