Region,Census year,Total,Mean rent per person
Campbellfield - Coolaroo,2006,1017,70.06489675516224
Campbellfield - Coolaroo,2011,1105,97.03800904977376
Campbellfield - Coolaroo,2016,1246,103.87800963081862
Carlton,2006,4018,141.6159780985565
Carlton,2011,4973,202.42730746028553
Carlton,2016,6323,230.10596235963942
Carlton North - Princes Hill,2006,1641,126.8513101767215
Carlton North - Princes Hill,2011,1734,183.72029988465974
Carlton North - Princes Hill,2016,1636,207.41809290953543
Carnegie,2006,2340,105.81452991452991
Carnegie,2011,2676,159.17862481315396
Carnegie,2016,3090,192.14919093851134
Caroline Springs,2006,441,75.38775510204081
Caroline Springs,2011,910,100.2098901098901
Caroline Springs,2016,1206,114.77031509121062
Carrum - Patterson Lakes,2006,811,79.3723797780518
Carrum - Patterson Lakes,2011,857,110.31271878646442
Carrum - Patterson Lakes,2016,899,130.41601779755285
Carrum Downs,2006,1290,66.5937984496124
Carrum Downs,2011,1691,95.30337078651685
Carrum Downs,2016,1996,111.88026052104209
Caulfield - North,2006,2092,113.88049713193118
Caulfield - North,2011,2366,156.48647506339813
Caulfield - North,2016,2747,189.45394976337823
Caulfield - South,2006,1392,107.39367816091955
Caulfield - South,2011,1549,152.28211749515816
Caulfield - South,2016,1711,182.0637054354179
Chelsea - Bonbeach,2006,1550,73.6716129032258
Chelsea - Bonbeach,2011,1700,113.17588235294119
Chelsea - Bonbeach,2016,1787,135.61611639619474
Chelsea Heights,2006,258,75.87209302325581
Chelsea Heights,2011,320,112.390625
Chelsea Heights,2016,250,108.52
Cheltenham - Highett (East),2006,1593,87.84118016321406
Cheltenham - Highett (East),2011,1779,124.56379988757729
Cheltenham - Highett (East),2016,2122,154.64278982092367
Cheltenham - Highett (West),2006,746,86.48525469168901
Cheltenham - Highett (West),2011,884,122.08371040723982
Cheltenham - Highett (West),2016,979,154.23595505617976
Chirnside Park,2006,279,68.05376344086022
Chirnside Park,2011,304,97.74342105263158
Chirnside Park,2016,400,110.6075
Clarinda - Oakleigh South,2006,582,65.45017182130584
Clarinda - Oakleigh South,2011,673,92.45616641901933
Clarinda - Oakleigh South,2016,744,109.97983870967742
Clayton,2006,2579,94.13881349360217
Clayton,2011,2957,126.8833276969902
Clayton,2016,4003,153.61179115663253
Clayton South,2006,1135,73.01850220264318
Clayton South,2011,1267,111.672454617206
Clayton South,2016,1595,138.26394984326018
Coburg,2006,2187,87.27114769090078
Coburg,2011,2540,135.10157480314962
Coburg,2016,3081,160.52320675105483
Coburg North,2006,570,68.72631578947369
Coburg North,2011,634,109.64668769716089
Coburg North,2016,740,126.3108108108108
Collingwood,2006,1479,102.77146720757267
Collingwood,2011,1679,152.4979154258487
Collingwood,2016,2368,207.53547297297297
Craigieburn - Central,2006,366,61.592896174863384
Craigieburn - Central,2011,475,89.23789473684211
Craigieburn - Central,2016,561,100.35472370766487
Craigieburn - North,2006,104,69.86538461538461
Craigieburn - North,2011,394,96.502538071066
Craigieburn - North,2016,713,107.25806451612902
Craigieburn - South,2006,397,66.20654911838791
Craigieburn - South,2011,628,91.08280254777071
Craigieburn - South,2016,1186,104.84569983136593
Craigieburn - West,2006,0,0.0
Craigieburn - West,2011,255,104.0
Craigieburn - West,2016,1298,113.32434514637904
Cranbourne,2006,1404,61.61752136752136
Cranbourne,2011,1704,85.87910798122066
Cranbourne,2016,1901,100.60073645449762
Cranbourne East,2006,161,68.91925465838509
Cranbourne East,2011,443,102.14221218961625
Cranbourne East,2016,1534,107.5638852672751
Cranbourne North,2006,549,58.087431693989075
Cranbourne North,2011,914,88.21115973741794
Cranbourne North,2016,1284,99.00545171339564
Cranbourne South,2006,120,68.19166666666666
Cranbourne South,2011,164,99.70731707317073
Cranbourne South,2016,197,109.2741116751269
Cranbourne West,2006,479,62.52609603340292
Cranbourne West,2011,666,87.48048048048048
Cranbourne West,2016,924,99.57142857142857
Croydon - East,2006,1352,73.44156804733728
Croydon - East,2011,1582,106.3103666245259
Croydon - East,2016,1713,118.48978400467016
Croydon - West,2006,775,70.40129032258065
Croydon - West,2011,823,100.15309842041313
Croydon - West,2016,1016,117.0265748031496
Croydon Hills - Warranwood,2006,552,74.33695652173913
Croydon Hills - Warranwood,2011,639,98.65414710485133
Croydon Hills - Warranwood,2016,722,111.0747922437673
Croydon South,2006,183,67.21311475409836
Croydon South,2011,267,89.17977528089888
Croydon South,2016,281,102.38078291814946
Dandenong,2006,3461,70.41722045651545
Dandenong,2011,4150,104.61783132530118
Dandenong,2016,4959,123.77092155676547
Dandenong North,2006,1525,60.15672131147541
Dandenong North,2011,1712,86.91296728971962
Dandenong North,2016,1906,100.05194123819517
Deer Park - Derrimut,2006,889,58.19347581552306
Deer Park - Derrimut,2011,1748,86.73340961098398
Deer Park - Derrimut,2016,1993,99.81936778725539
Delahey,2006,289,64.23529411764706
Delahey,2011,462,89.73809523809524
