children_wh_valid_scores_count_2018, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_vulnerable_count_2015, development_vulnerable_count_2012, development_vulnerable_perc_2009, name, children_wh_valid_scores_count_2012, sa2_main16, children_wh_valid_scores_count_2015, code, development_vulnerable_perc_2012, development_vulnerable_count_2018, development_vulnerable_count_2009
382,76,7.949791,8.900523,19,8,14.473684,"Cranbourne West",172,"212031304",239,"21304",4.6511626,34,11
83,81,8.641975,7.2289157,7,4,8.641975,"Prahran - Windsor",78,"206061136",81,"21136",5.1282053,6,7
72,45,18.032787,6.9444447,11,6,11.111111,"Collingwood",59,"206071141",61,"21141",10.169492,5,5
77,34,6.451613,7.7922077,4,5,17.647058,"Hadfield",79,"210031440",62,"21440",6.329114,6,6
169,162,1.8987342,3.5502958,3,13,6.7901235,"Sunbury",180,"210041240",158,"21240",7.2222223,6,11
336,294,3.4285715,6.25,12,16,6.802721,"Sunbury - South",292,"210041241",350,"21241",5.479452,21,20
73,66,11.111111,4.109589,9,6,3.030303,"Fitzroy",58,"206071142",81,"21142",10.344828,3,2
88,78,4.878049,11.363636,4,3,3.8461537,"Hughesdale",82,"208021180",82,"21180",3.6585367,10,3
182,162,9.090909,16.483517,19,19,6.7901235,"Wendouree - Miners Rest",193,"201011008",209,"21008",9.84456,30,11
60,51,3.9473684,5.0,3,3,5.882353,"Bacchus Marsh Region",73,"201021009",76,"21009",4.109589,3,3
82,78,8.888889,1.2195122,8,6,2.5641026,"Creswick - Clunes",97,"201021010",90,"21010",6.185567,1,2
59,74,7.142857,1.6949153,7,7,9.459459,"Daylesford",93,"201021011",98,"21011",7.5268817,1,7
57,70,8.333333,8.77193,5,4,8.571428,"Gordon (Vic.)",72,"201021012",60,"21012",5.5555553,5,6
32,26,20.0,21.875,6,2,7.6923075,"Avoca",33,"201031013",30,"21013",6.060606,7,2
43,37,0.0,4.6511626,0,7,2.7027028,"Beaufort",44,"201031014",34,"21014",15.909091,2,1
54,54,11.111111,11.111111,7,4,14.814815,"Golden Plains - North",54,"201031015",63,"21015",7.4074073,6,8
457,56,9.090909,7.2210064,24,12,5.357143,"Point Cook - South",111,"213051466",264,"21466",10.810811,33,3
30,48,13.043478,6.6666665,6,2,2.0833333,"Mildura Region",51,"215021398",46,"21398",3.9215686,2,1
74,57,9.756098,9.459459,8,3,10.526316,"Red Cliffs",63,"215021399",82,"21399",4.7619047,7,6
225,210,9.67742,11.555555,24,33,9.523809,"Mildura - North",276,"215021469",248,"21469",11.956522,26,20
132,86,3.030303,5.3030305,4,6,2.3255813,"Blackburn South",124,"207031162",132,"21162",4.83871,7,2
91,70,10.280374,6.5934067,11,11,2.857143,"Flora Hill - Spring Gully",99,"202011021",107,"21021",11.111111,6,2
237,222,9.803922,7.594937,20,23,3.6036036,"Kangaroo Flat - Golden Square",276,"202011022",204,"21022",8.333333,18,8
97,52,3.5294118,3.0927835,3,1,5.769231,"Maiden Gully",97,"202011023",85,"21023",1.0309278,3,3
155,78,3.4965036,3.8709676,5,4,12.820513,"Strathfieldsaye",82,"202011024",143,"21024",4.878049,6,10
115,124,2.020202,4.347826,2,5,4.83871,"Surrey Hills (East) - Mont Albert",109,"207031167",99,"21167",4.587156,5,6
199,161,8.955224,5.0251255,18,13,3.10559,"Brighton East",188,"208011170",201,"21170",6.9148936,10,5
203,111,8.641975,4.4334974,14,3,3.6036036,"White Hills - Ascot",127,"202011025",162,"21025",2.3622048,9,4
100,54,4.255319,3.0,4,5,3.7037036,"Bendigo Region - South",80,"202021026",94,"21026",6.25,3,2
173,145,5.347594,7.514451,10,17,9.655172,"Kilmore - Broadford",186,"204011056",187,"21056",9.139785,13,14
82,53,7.368421,6.097561,7,6,5.6603775,"Mansfield (Vic.)",90,"204011057",95,"21057",6.6666665,5,3
35,33,0.0,8.571428,0,2,12.121212,"Nagambie",49,"204011058",34,"21058",4.0816326,3,4
78,86,7.4074073,10.256411,4,4,5.8139534,"Seymour",65,"204011059",54,"21059",6.1538463,8,5
34,26,8.888889,8.823529,4,5,0.0,"Yea",36,"204011062",45,"21062",13.888889,3,0
90,126,14.035088,8.888889,16,19,7.142857,"Benalla",131,"204021063",114,"21063",14.503817,8,9
29,16,10.810811,3.4482758,4,5,0.0,"Benalla Region",37,"204021064",37,"21064",13.513514,1,0
100,74,1.4705882,5.0,1,4,0.0,"Burwood East",97,"207031166",68,"21166",4.123711,5,0
37,50,5.263158,2.7027028,2,0,6.0,"Rutherglen",56,"204021065",38,"21065",0.0,1,3
220,220,8.071749,4.5454545,18,12,6.818182,"Wangaratta",222,"204021066",223,"21066",5.4054055,10,15
104,115,8.256881,2.8846154,9,2,6.9565215,"Wangaratta Region",105,"204021067",109,"21067",1.9047619,3,8
185,134,7.8125,5.9459457,15,11,7.4626865,"Drouin",156,"205011076",192,"21076",7.051282,11,10
58,56,4.6153846,22.413794,3,3,7.142857,"Mount Baw Baw Region",63,"205011077",65,"21077",4.7619047,13,4
108,55,5.8252425,7.4074073,6,6,10.909091,"Trafalgar (Vic.)",82,"205011078",103,"21078",7.3170733,8,6
205,213,6.866953,7.804878,16,8,5.164319,"Warragul",182,"205011079",233,"21079",4.3956046,16,11
164,175,10.0,9.146341,19,12,10.857142,"Bairnsdale",181,"205021081",190,"21081",6.629834,15,19
0,0,null,null,null,null,null,"Lake King",0,"205021083",0,"21083",null,null,null
116,73,4.587156,6.8965516,5,0,10.958904,"Lakes Entrance",84,"205021084",109,"21084",0.0,8,8
56,56,12.5,12.5,9,4,5.357143,"Orbost",76,"205021085",72,"21085",5.263158,7,3
47,40,6.6666665,4.255319,3,4,0.0,"Paynesville",28,"205021086",45,"21086",14.285714,2,0
133,118,8.080808,5.263158,8,12,14.406779,"Korumburra",110,"205031089",99,"21089",10.909091,7,17
136,139,5.633803,7.352941,8,3,10.071942,"Leongatha",65,"205031090",142,"21090",4.6153846,10,14
242,218,7.1729956,7.4380164,17,14,4.1284404,"Wonthaggi - Inverloch",187,"205031093",237,"21093",7.486631,18,9
157,132,10.38961,13.375796,16,7,7.5757575,"Churchill",125,"205041094",154,"21094",5.6,21,10
196,231,8.843537,13.77551,13,22,9.95671,"Moe - Newborough",180,"205041095",147,"21095",12.222222,27,23
168,155,34.545456,33.333332,57,25,10.32258,"Morwell",167,"205041096",165,"21096",14.97006,56,16
324,279,6.3492064,10.493827,16,13,7.8853045,"Traralgon",243,"205041097",252,"21097",5.3497944,34,22
63,62,15.384615,4.7619047,8,2,9.67742,"Yallourn North - Glengarry",59,"205041098",52,"21098",3.3898306,3,6
0,0,null,null,null,null,null,"Alps - West",0,"205051099",0,"21099",null,null,null
194,160,6.25,7.216495,11,15,5.625,"Maffra",190,"205051101",176,"21101",7.894737,14,9
52,41,9.090909,9.615385,5,5,9.756098,"Rosedale",47,"205051102",55,"21102",10.638298,5,4
48,56,2.3809524,12.5,1,6,5.357143,"Yarram",65,"205051104",42,"21104",9.230769,6,3
184,116,5.072464,5.4347825,7,6,8.620689,"Cheltenham - Highett (West)",139,"208011171",138,"21171",4.316547,10,10
207,224,3.862661,3.3816426,9,10,3.125,"Hampton",193,"208011172",233,"21172",5.1813474,7,7
162,141,8.247422,5.5555553,16,10,4.255319,"Brunswick",169,"206011105",194,"21105",5.9171596,9,6
47,61,2.9411764,4.255319,2,8,6.557377,"Brunswick East",73,"206011106",68,"21106",10.958904,2,4
123,115,4.5454545,4.0650406,5,2,8.695652,"Pascoe Vale South",110,"206011109",110,"21109",1.8181819,5,10
61,8,8.333333,11.47541,2,1,null,"Docklands",16,"206041118",24,"21118",6.25,7,null
70,64,6.6666665,8.571428,5,2,3.125,"Armadale",58,"206061135",75,"21135",3.4482758,6,2
159,163,5.970149,7.5471697,12,14,5.5214725,"Bentleigh East (North)",174,"208021426",201,"21426",8.045977,12,9
154,99,7.096774,11.688312,11,5,5.050505,"Alfredton",125,"201011001",155,"21001",4.0,18,5
93,90,6.976744,2.1505377,9,9,6.6666665,"Fitzroy North",108,"206071143",129,"21143",8.333333,2,6
182,194,2.1978023,8.791209,4,9,5.1546392,"Richmond (Vic.)",162,"206071144",182,"21144",5.5555553,16,10
96,61,11.956522,6.25,11,5,4.9180326,"Yarra - North",94,"206071145",92,"21145",5.319149,6,3
116,196,6.8965516,1.7241379,8,5,6.122449,"Ballarat",99,"201011002",116,"21002",5.050505,2,12
27,17,null,0.0,null,1,5.882353,"South Yarra - West",26,"206041125",null,"21125",3.8461537,0,1
188,115,3.0120482,10.106383,5,7,9.565217,"Bentleigh East (South)",117,"208021427",166,"21427",5.982906,19,11
282,179,8.880309,7.0921984,23,20,6.1452513,"Ballarat - North",290,"201011003",259,"21003",6.8965516,20,11
279,238,5.323194,3.5842295,14,10,3.3613446,"Bentleigh - McKinnon",237,"208021174",263,"21174",4.2194095,10,8
281,185,9.225092,9.964413,25,29,9.189189,"Ballarat - South",281,"201011004",271,"21004",10.320285,28,17
107,75,2.3529413,4.6728973,2,3,9.333333,"Buninyong",83,"201011005",85,"21005",3.6144578,5,7
103,59,5.376344,12.621359,5,9,8.474576,"Delacombe",100,"201011006",93,"21006",9.0,13,5
128,140,7.142857,4.6875,8,5,9.285714,"Aspendale Gardens - Waterways",126,"208031183",112,"21183",3.9682539,6,13
50,52,1.6949153,8.0,1,4,5.769231,"Smythes Creek",54,"201011007",59,"21007",7.4074073,4,3
85,82,14.285714,11.764706,11,18,10.97561,"Maryborough (Vic.)",96,"201031016",77,"21016",18.75,10,9
43,30,9.615385,18.60465,5,1,13.333333,"Maryborough Region",39,"201031017",52,"21017",2.5641026,8,4
87,95,0.98039216,6.8965516,1,3,5.263158,"Murrumbeena",101,"208021181",102,"21181",2.970297,6,5
170,222,10.884354,10.0,16,22,6.756757,"Bendigo",190,"202011018",147,"21018",11.578947,17,15
379,350,8.759124,8.970976,36,19,8.0,"Hampton Park - Lynbrook",392,"212031305",411,"21305",4.8469386,34,28
194,99,12.408759,16.494844,17,3,7.070707,"California Gully - Eaglehawk",128,"202011019",137,"21019",2.34375,32,7
46,15,5.714286,6.521739,2,0,null,"Southbank",22,"206041126",35,"21126",0.0,3,null
151,81,9.433962,3.97351,15,6,9.876543,"East Bendigo - Kennington",124,"202011020",159,"21020",4.83871,6,8
