children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
184,24,13.043478,23,11.894273,7.5,10.747663,81.0,27,186,"Narre Warren South (East)",162,15,200,8.878505,8.152174,23,"21457",6.167401,11.5,172,19,14,145,227,"212031457",81.938324,214,80.37383,15,78.804344
261,29,11.111111,41,7.4766355,4.895105,15.129151,79.37063,24,283,"Narre Warren South (West)",227,14,286,7.380074,6.130268,45,"21458",4.3613706,15.734265,210,20,14,216,321,"212031458",88.161995,271,77.490776,16,82.75862
135,22,16.296297,14,16.528925,14.102564,12.612613,67.948715,20,91,"Clarinda - Oakleigh South",53,11,78,4.5045047,8.148149,14,"21309",8.264462,17.948717,92,5,10,102,121,"212041309",75.20661,111,82.88288,11,75.55556
146,32,21.917809,29,22.123894,9.166667,19.594595,65.833336,25,81,"Clayton South",79,11,120,12.162162,13.013699,30,"21310",6.19469,25.0,101,18,7,95,113,"212041310",71.68142,148,68.24324,19,65.0685
410,69,16.829268,85,20.679886,10.964912,21.794872,66.666664,73,231,"Dandenong",152,25,228,9.230769,10.487804,51,"21311",13.88102,22.368422,269,36,49,298,353,"212041311",65.439095,390,68.97436,43,72.68293
254,38,14.960629,33,15.209126,11.715481,13.414634,71.96653,40,193,"Dandenong North",172,28,239,6.097561,11.811024,39,"21312",11.406844,16.317991,198,15,30,186,263,"212041312",73.38403,246,80.48781,30,73.22835
99,13,13.131313,14,20.689655,2.631579,10.0,82.45614,24,89,"Dingley Village",94,3,114,6.428571,5.050505,17,"21313",2.586207,14.912281,117,9,3,81,116,"212041313",76.72414,140,83.57143,5,81.818184
117,20,17.094017,22,20.689655,15.833333,16.17647,64.166664,24,81,"Noble Park - East",77,19,120,11.029411,6.837607,24,"21459",9.4827585,20.0,99,15,11,89,116,"212041459",69.82758,136,72.79412,8,76.068375
318,41,12.893082,49,15.873015,7.142857,16.955017,76.05042,40,182,"Keysborough",181,17,238,7.9584775,5.0314465,40,"21314",11.904762,16.806723,217,23,30,261,252,"212041314",72.22222,289,75.0865,16,82.07547
82,9,10.97561,14,14.705882,15.254237,17.28395,64.40678,10,54,"Noble Park North",38,9,59,2.4691358,6.097561,12,"21316",5.882353,20.338984,65,2,4,68,68,"212041316",79.411766,81,80.24691,5,82.92683
245,48,19.591837,43,21.925133,11.693548,19.28251,70.564514,41,115,"Springvale",175,29,248,10.762332,10.612245,44,"21317",16.57754,17.741936,156,24,31,171,187,"212041317",61.497326,223,69.955154,26,69.79592
175,39,22.285715,18,21.259842,16.312057,10.404624,65.24823,27,76,"Springvale South",92,23,141,5.202312,8.571428,26,"21318",18.897638,18.439716,146,9,24,121,127,"212041318",59.842518,173,84.39307,15,69.14286
215,32,14.883721,45,20.895523,14.009662,22.727272,67.63285,42,147,"Noble Park - West",140,29,207,9.59596,6.976744,38,"21460",5.970149,18.357489,134,19,12,168,201,"212041460",73.13433,198,67.676765,15,78.139534
208,35,16.826923,25,13.77551,12.666667,12.254902,69.333336,27,156,"Ashwood - Chadstone",104,19,150,6.8627453,10.576923,27,"21319",6.632653,18.0,165,14,13,151,196,"212051319",79.591835,204,80.882355,22,72.59615
143,21,14.685315,25,11.818182,8.163265,18.796993,72.789116,13,91,"Clayton",107,12,147,8.270677,12.587413,28,"21320",5.4545455,19.047619,97,11,6,104,110,"212051320",82.72727,133,72.93233,18,72.72727
275,44,16.0,29,12.903226,7.070707,14.5,84.34344,24,153,"Glen Waverley - East",167,14,198,6.5,3.2727273,17,"21321",4.83871,8.585858,158,13,9,222,186,"212051321",82.258064,200,79.0,9,80.72727
219,28,12.785388,19,13.245033,9.69697,9.268292,73.333336,20,119,"Glen Waverley - West",121,16,165,4.390244,5.479452,28,"21322",7.94702,16.969696,177,9,12,179,151,"212051322",78.807945,205,86.34146,12,81.73516
170,24,14.117647,32,16.216217,8.333333,17.297297,77.5,18,83,"Mount Waverley - North",93,10,120,4.324324,5.2941175,17,"21323",9.009009,14.166667,145,8,10,137,111,"212051323",74.77477,185,78.37838,9,80.588234
224,33,14.732142,25,12.99435,9.89011,13.089005,74.72527,23,143,"Mount Waverley - South",136,18,182,6.8062825,5.357143,28,"21324",6.2146893,15.384615,153,13,11,179,177,"212051324",80.79096,191,80.10471,12,79.91071
237,30,12.658228,27,16.477272,5.5214725,11.489362,82.82208,29,136,"Mulgrave",135,9,163,7.6595745,3.7974684,19,"21325",6.25,11.656442,190,18,11,198,176,"212051325",77.27273,235,80.85107,9,83.544304
227,50,22.026432,30,11.344538,2.843602,13.157895,80.56872,27,204,"Oakleigh - Huntingdale",170,6,211,7.894737,5.7268724,35,"21326",2.9411764,16.587677,180,18,7,164,238,"212051326",85.71429,228,78.947365,13,72.2467
205,26,12.682927,26,13.636364,7.6923075,13.065327,77.948715,18,103,"Wheelers Hill",152,15,195,6.5326633,7.804878,28,"21327",8.333333,14.358974,160,13,11,163,132,"212051327",78.030304,199,80.40201,16,79.51219
95,26,27.368422,14,16.129032,10.344828,20.289856,74.13793,10,43,"Ardeer - Albion",43,6,58,15.942029,8.421053,9,"21328",14.516129,15.517241,44,11,9,61,62,"213011328",69.354836,69,63.768116,8,64.210526
287,35,12.195122,46,21.212122,7.9365077,18.25397,74.60317,49,167,"Hoppers Crossing - South",188,20,252,9.126985,9.059234,44,"21362",6.4935064,17.460318,183,23,15,226,231,"213051362",72.29437,252,72.61905,26,78.74564
153,17,11.111111,18,14.583333,6.849315,15.929204,80.821915,21,106,"Cairnlea",118,10,146,7.964602,2.6143792,18,"21329",11.805555,12.328767,86,9,17,132,144,"213011329",73.611115,113,76.10619,4,86.27451
165,24,14.545455,16,13.28125,2.2727273,13.445378,84.84849,17,98,"Keilor Downs",112,3,132,13.445378,4.848485,17,"21332",10.15625,12.878788,87,16,13,133,128,"213011332",76.5625,119,73.109245,8,80.606064
463,75,16.198704,66,16.797901,8.40708,17.506632,74.77876,64,285,"Deer Park - Derrimut",169,19,226,9.814323,8.207343,38,"21330",8.398951,16.81416,274,37,32,350,381,"213011330",74.80315,377,72.67905,38,75.593956
173,23,13.294798,20,17.880795,4.5454545,11.627907,80.681816,27,113,"Kings Park (Vic.)",71,4,88,9.883721,7.514451,13,"21333",7.284768,14.772727,135,17,11,137,151,"213011333",74.834435,172,78.48837,13,79.19075
267,51,19.101124,46,16.88889,7.6923075,20.087336,68.37607,38,164,"St Albans - North",160,18,234,12.227075,12.734082,56,"21334",10.222222,23.931623,155,28,23,182,225,"213011334",72.888885,229,67.68559,34,68.164795
