children_wh_valid_scores_count_2018, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_vulnerable_count_2015, development_vulnerable_count_2012, development_vulnerable_perc_2009, name, children_wh_valid_scores_count_2012, sa2_main16, children_wh_valid_scores_count_2015, code, development_vulnerable_perc_2012, development_vulnerable_count_2018, development_vulnerable_count_2009
233,267,7.4324327,5.579399,22,18,7.116105,"Mornington",302,"214021380",296,"21380",5.9602647,13,19
282,225,7.8358207,4.609929,21,7,4.4444447,"Mount Eliza",206,"214021381",268,"21381",3.3980582,13,10
206,220,8.203125,3.3980582,21,13,7.7272725,"Mount Martha",233,"214021382",256,"21382",5.579399,7,17
169,155,9.090909,3.5502958,19,7,7.7419353,"Point Nepean",198,"214021383",209,"21383",3.5353534,6,12
209,196,9.952606,8.61244,21,16,8.67347,"Rosebud - McCrae",196,"214021384",211,"21384",8.163265,18,17
112,108,14.953271,28.571428,16,20,16.666666,"Mooroopna",121,"216031415",107,"21415",16.528925,32,18
223,190,6.028369,13.452915,17,11,8.421053,"Shepparton - North",243,"216031416",282,"21416",4.526749,30,16
210,206,12.643678,10.0,22,16,9.223301,"Somerville",191,"214021385",174,"21385",8.376964,21,19
347,297,11.904762,14.985591,40,28,6.3973064,"Shepparton - South",339,"216031417",336,"21417",8.259587,52,19
45,44,9.523809,6.6666665,4,7,0.0,"Shepparton Region - East",60,"216031418",42,"21418",11.666667,3,0
110,123,6.756757,9.090909,10,5,9.756098,"Shepparton Region - West",146,"216031419",148,"21419",3.4246576,10,12
85,97,11.235955,9.411765,10,9,4.123711,"Glenelg (Vic.)",84,"217011420",89,"21420",10.714286,8,4
98,131,0.8333333,6.122449,1,9,7.633588,"Hamilton (Vic.)",105,"217011421",120,"21421",8.571428,6,10
103,155,7.079646,14.563107,8,6,5.806452,"Portland",131,"217011422",113,"21422",4.5801525,15,9
70,67,2.5316455,7.142857,2,3,1.4925373,"Southern Grampians",68,"217011423",79,"21423",4.4117646,5,1
79,90,8.641975,10.126582,7,6,7.7777777,"Ararat",97,"215011386",81,"21386",6.185567,8,7
40,28,6.6666665,7.5,2,5,14.285714,"Ararat Region",32,"215011387",30,"21387",15.625,3,4
39,49,8.823529,2.5641026,3,1,2.0408163,"Rochester",38,"216011409",34,"21409",2.631579,1,1
205,189,8.920188,8.292683,19,17,5.291005,"Horsham",218,"215011388",213,"21388",7.7981653,17,10
37,34,2.3255813,2.7027028,1,4,8.823529,"Horsham Region",33,"215011389",43,"21389",12.121212,1,3
73,85,14.705882,10.958904,10,4,18.82353,"Nhill Region",62,"215011390",68,"21390",6.451613,8,16
93,88,16.41791,2.1505377,11,3,9.090909,"Stawell",92,"215011392",67,"21392",3.2608695,2,8
31,31,7.6923075,9.67742,3,0,6.451613,"West Wimmera",19,"215011393",39,"21393",0.0,3,2
89,68,4.4444447,4.494382,4,6,8.823529,"Irymple",84,"215021395",90,"21395",7.142857,4,6
56,54,5.357143,1.7857143,3,1,5.5555553,"Merbein",62,"215021396",56,"21396",1.6129032,1,3
203,168,5.0,9.359606,9,28,10.119047,"Mildura - South",220,"215021470",180,"21470",12.727273,19,17
52,62,3.2786884,13.461538,2,8,12.903226,"Buloke",81,"215031400",61,"21400",9.876543,7,8
69,54,11.111111,1.4492754,7,7,7.4074073,"Gannawarra",80,"215031401",63,"21401",8.75,1,4
27,40,9.67742,0.0,3,6,25.0,"Kerang",32,"215031402",31,"21402",18.75,0,10
55,65,8.333333,3.6363637,6,12,6.1538463,"Robinvale",55,"215031403",72,"21403",21.818182,2,4
166,146,8.264462,10.240964,10,8,4.109589,"Swan Hill",130,"215031404",121,"21404",6.1538463,17,6
73,52,18.085106,5.479452,17,6,11.538462,"Swan Hill Region",92,"215031405",94,"21405",6.521739,4,6
189,208,7.821229,11.640212,14,14,10.576923,"Echuca",191,"216011406",179,"21406",7.329843,22,22
46,43,4.0,15.217391,2,3,11.627907,"Lockington - Gunbower",49,"216011408",50,"21408",6.122449,7,5
61,75,15.384615,3.2786884,12,4,5.3333335,"Cobram",72,"216021411",78,"21411",5.5555553,2,4
24,22,14.285714,0.0,3,0,9.090909,"Moira",24,"216021412",21,"21412",0.0,0,2
136,144,8.403361,7.352941,10,5,10.416667,"Numurkah",159,"216021413",119,"21413",3.144654,10,15
93,61,9.473684,11.827957,9,3,9.836065,"Yarrawonga",92,"216021414",95,"21414",3.2608695,11,6
45,30,2.9411764,4.4444447,1,5,13.333333,"Camperdown",46,"217031471",34,"21471",10.869565,2,4
167,149,11.242603,11.377246,19,18,20.134228,"Colac",169,"217031472",169,"21472",10.650887,19,30
58,56,5.357143,1.7241379,3,5,21.428572,"Colac Region",59,"217031473",56,"21473",8.474576,1,12
63,64,1.754386,11.111111,1,3,14.0625,"Corangamite - North",72,"217031474",57,"21474",4.1666665,7,9
97,100,7.8651686,4.123711,7,12,5.0,"Corangamite - South",95,"217031475",89,"21475",12.631579,4,5
28,36,13.333333,3.5714285,4,2,11.111111,"Otway",32,"217031476",30,"21476",6.25,1,4
74,87,1.010101,5.4054055,1,1,1.1494253,"Moyne - East",103,"217041477",99,"21477",0.9708738,4,1
109,119,4.7244096,4.587156,6,8,16.806723,"Moyne - West",143,"217041478",127,"21478",5.5944057,5,20
209,260,7.6642337,5.7416267,21,21,5.0,"Warrnambool - North",264,"217041479",274,"21479",7.9545455,12,13
138,146,7.8431373,4.347826,12,7,8.90411,"Warrnambool - South",126,"217041480",153,"21480",5.5555553,6,13
