children_wh_valid_scores_count_2018, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_vulnerable_count_2015, development_vulnerable_count_2012, development_vulnerable_perc_2009, name, children_wh_valid_scores_count_2012, sa2_main16, children_wh_valid_scores_count_2015, code, development_vulnerable_perc_2012, development_vulnerable_count_2018, development_vulnerable_count_2009
382,76,19.246862,9.162304,46,29,23.68421,"Cranbourne West",170,"212031304",239,"21304",17.058823,35,18
83,81,12.345679,10.843373,10,5,16.049383,"Prahran - Windsor",78,"206061136",81,"21136",6.4102564,9,13
72,45,19.67213,23.61111,12,10,15.555555,"Collingwood",59,"206071141",61,"21141",16.949152,17,7
77,34,19.35484,9.090909,12,10,5.882353,"Hadfield",79,"210031440",62,"21440",12.658228,7,2
169,162,15.189874,7.1005917,24,20,4.3209877,"Sunbury",180,"210041240",158,"21240",11.111111,12,7
336,294,12.857142,11.011905,45,46,7.142857,"Sunbury - South",292,"210041241",350,"21241",15.753425,37,21
73,66,27.5,20.547945,22,17,18.181818,"Fitzroy",58,"206071142",80,"21142",29.310345,15,12
88,78,4.878049,3.409091,4,3,8.974359,"Hughesdale",82,"208021180",82,"21180",3.6585367,3,7
182,162,20.574163,20.32967,43,44,13.580247,"Wendouree - Miners Rest",193,"201011008",209,"21008",22.797928,37,22
60,51,5.263158,10.0,4,5,13.725491,"Bacchus Marsh Region",73,"201021009",76,"21009",6.849315,6,7
82,78,8.888889,12.195122,8,10,12.820513,"Creswick - Clunes",97,"201021010",90,"21010",10.309278,10,10
59,74,14.285714,10.169492,14,13,10.810811,"Daylesford",93,"201021011",98,"21011",13.978495,6,8
57,70,8.333333,14.035088,5,5,10.0,"Gordon (Vic.)",72,"201021012",60,"21012",6.9444447,8,7
32,26,26.666666,21.875,8,9,19.23077,"Avoca",33,"201031013",30,"21013",27.272728,7,5
43,37,8.823529,20.930233,3,3,13.513514,"Beaufort",44,"201031014",34,"21014",6.818182,9,5
54,54,9.523809,18.518518,6,6,11.111111,"Golden Plains - North",54,"201031015",63,"21015",11.111111,10,6
457,56,14.393939,12.472648,38,15,8.928572,"Point Cook - South",111,"213051466",264,"21466",13.513514,57,5
30,47,19.565218,16.666666,9,6,17.021276,"Mildura Region",51,"215021398",46,"21398",11.764706,5,8
74,57,10.97561,22.972973,9,4,10.526316,"Red Cliffs",63,"215021399",82,"21399",6.3492064,17,6
225,210,14.919354,18.666666,37,51,16.666666,"Mildura - North",276,"215021469",248,"21469",18.47826,42,35
132,86,3.7878788,4.5454545,5,11,4.6511626,"Blackburn South",124,"207031162",132,"21162",8.870968,6,4
91,70,14.018692,9.89011,15,21,14.285714,"Flora Hill - Spring Gully",99,"202011021",107,"21021",21.212122,9,10
237,222,14.215686,10.970464,29,31,10.36036,"Kangaroo Flat - Golden Square",276,"202011022",204,"21022",11.231884,26,23
97,52,5.882353,6.185567,5,0,3.8461537,"Maiden Gully",97,"202011023",85,"21023",0.0,6,2
155,78,2.7972028,6.451613,4,7,12.820513,"Strathfieldsaye",82,"202011024",143,"21024",8.536586,10,10
115,124,5.050505,5.2173915,5,10,5.645161,"Surrey Hills (East) - Mont Albert",109,"207031167",99,"21167",9.174312,6,7
199,161,4.9751244,3.517588,10,15,1.8633541,"Brighton East",188,"208011170",201,"21170",7.9787235,7,3
203,111,12.962963,9.852217,21,7,11.711712,"White Hills - Ascot",127,"202011025",162,"21025",5.5118113,20,13
100,54,7.4468083,7.0,7,6,3.7037036,"Bendigo Region - South",80,"202021026",94,"21026",7.5,7,2
173,145,11.229946,8.67052,21,22,14.482759,"Kilmore - Broadford",186,"204011056",187,"21056",11.827957,15,21
82,53,7.368421,7.3170733,7,5,3.7735848,"Mansfield (Vic.)",90,"204011057",95,"21057",5.5555553,6,2
35,33,0.0,2.857143,0,6,24.242424,"Nagambie",49,"204011058",34,"21058",12.244898,1,8
78,86,12.962963,11.538462,7,13,11.627907,"Seymour",65,"204011059",54,"21059",20.0,9,10
34,26,17.777779,8.823529,8,10,7.6923075,"Yea",36,"204011062",45,"21062",27.777779,3,2
