children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
37,5,13.513514,4,12.121212,8.823529,9.302325,82.35294,4,25,"Horsham Region",28,3,34,4.6511626,2.7027028,3,"21389",12.121212,8.823529,37,2,4,31,33,"215011389",75.757576,43,86.04651,1,83.78378
73,11,15.068493,18,19.35484,11.764706,26.470589,69.411766,12,48,"Nhill Region",59,10,85,1.4705882,4.109589,16,"21390",3.2258065,18.82353,49,1,2,59,62,"215011390",77.41936,68,72.05882,3,80.821915
93,2,2.1505377,16,9.782609,7.9545455,23.880596,82.954544,9,81,"Stawell",73,7,88,4.477612,3.2258065,8,"21392",2.173913,9.090909,48,3,2,88,92,"215011392",88.04348,67,71.64179,3,94.62366
31,0,0.0,3,0.0,9.67742,7.6923075,77.41936,0,19,"West Wimmera",24,3,31,2.5641026,12.903226,4,"21393",0.0,12.903226,35,1,0,27,19,"215011393",100.0,39,89.74359,4,87.09677
89,10,11.235955,5,26.190475,8.823529,5.5555553,80.882355,22,57,"Irymple",55,6,68,4.4444447,5.6179776,7,"21395",5.952381,10.294118,81,4,5,74,84,"215021395",67.85714,90,90.0,5,83.146065
57,7,12.280702,7,12.903226,3.7037036,12.5,79.62963,8,52,"Merbein",43,2,54,3.5714285,3.508772,9,"21396",3.2258065,16.666666,47,2,2,48,62,"215021396",83.870964,56,83.92857,2,84.210526
203,43,21.182266,12,15.0,10.119047,6.6666665,70.2381,33,163,"Mildura - South",118,17,168,7.2222223,9.852217,33,"21470",10.909091,19.642857,155,13,24,140,220,"215021470",74.09091,180,86.111115,20,68.965515
52,7,13.461538,6,22.222221,9.67742,9.836065,72.58064,18,56,"Buloke",45,6,62,4.9180326,11.538462,11,"21400",8.641975,17.741936,52,3,7,39,81,"215031400",69.1358,61,85.2459,6,75.0
69,12,17.391304,15,17.5,5.5555553,23.809525,87.03704,14,59,"Gannawarra",47,3,54,6.3492064,2.8985507,4,"21401",8.75,7.4074073,44,4,7,55,80,"215031401",73.75,63,69.84127,2,79.710144
27,1,3.7037036,3,28.125,5.0,9.67742,67.5,9,19,"Kerang",27,2,40,25.806452,7.4074073,11,"21402",12.5,27.5,20,8,4,24,32,"215031402",59.375,31,64.51613,2,88.888885
55,7,12.727273,11,29.09091,20.0,15.277778,63.076923,16,32,"Robinvale",41,13,65,6.9444447,10.909091,11,"21403",12.727273,16.923077,56,5,7,42,55,"215031403",58.18182,72,77.77778,6,76.36364
166,46,27.710844,21,16.923077,2.739726,17.355371,85.61644,22,100,"Swan Hill",125,4,146,9.917356,7.2289157,17,"21404",6.1538463,11.643836,88,12,8,108,130,"215031404",76.92308,121,72.72727,12,65.06024
73,8,10.958904,12,19.565218,5.769231,12.765958,76.92308,18,66,"Swan Hill Region",40,3,52,19.148935,4.109589,9,"21405",8.695652,17.307692,64,18,8,62,92,"215031405",71.73913,94,68.085106,3,84.9315
189,47,24.867725,39,13.089005,6.25,21.78771,69.71154,25,154,"Echuca",145,13,208,11.731844,8.994709,50,"21406",6.2827225,24.038462,119,21,12,125,191,"216011406",80.62827,179,66.480446,17,66.137566
46,11,23.913044,6,20.408163,16.27907,12.0,53.488373,10,34,"Lockington - Gunbower",23,7,43,2.0,4.347826,13,"21408",10.204082,30.232557,43,1,5,33,49,"216011408",69.38776,50,86.0,2,71.73913
61,8,13.114754,9,13.888889,13.333333,11.538462,70.666664,10,49,"Cobram",53,10,75,8.974359,8.196721,12,"21411",18.055555,16.0,62,7,13,48,72,"216021411",68.05556,78,79.48718,5,78.68852
24,2,8.333333,3,12.5,18.181818,14.285714,68.181816,3,20,"Moira",15,4,22,9.523809,4.1666665,3,"21412",4.1666665,13.636364,16,2,1,21,24,"216021412",83.333336,21,76.190475,1,87.5
136,20,14.705882,28,16.352201,10.416667,23.529411,77.77778,26,124,"Numurkah",112,15,144,7.563025,7.352941,17,"21413",5.6603775,11.805555,82,9,9,106,159,"216021413",77.98742,119,68.90756,10,77.94118
93,12,12.903226,15,18.47826,9.836065,15.789474,80.327866,17,72,"Yarrawonga",49,6,61,5.263158,10.752688,6,"21414",3.2608695,9.836065,75,5,3,71,92,"216021414",78.26087,95,78.947365,10,76.344086
45,6,13.333333,1,8.695652,0.0,2.9411764,80.0,4,40,"Camperdown",24,0,30,2.9411764,2.2222223,6,"21471",4.347826,20.0,32,1,2,38,46,"217031471",86.95652,34,94.117645,1,84.44444
167,19,11.377246,33,13.609468,13.422819,19.526627,51.00671,23,121,"Colac",76,20,149,7.1005917,8.383233,53,"21472",14.792899,35.57047,124,12,25,134,169,"217031472",71.59763,169,73.37278,14,80.23952
58,12,20.689655,9,10.169492,10.714286,16.071428,69.64286,6,49,"Colac Region",39,6,56,10.714286,5.172414,11,"21473",6.779661,19.642857,41,6,4,43,59,"217031473",83.05085,56,73.21429,3,74.13793
63,9,14.285714,0,11.111111,7.8125,0.0,78.125,8,62,"Corangamite - North",50,5,64,3.508772,14.285714,9,"21474",2.7777777,14.0625,55,2,2,45,72,"217031474",86.111115,57,96.49123,9,71.42857
97,6,6.185567,8,17.894737,1.0,8.988764,83.0,17,68,"Corangamite - South",83,1,100,10.11236,5.1546392,16,"21475",10.526316,16.0,72,9,10,86,95,"217031475",71.57895,89,80.89888,5,88.65979
28,1,3.5714285,5,9.375,8.333333,16.666666,77.77778,3,24,"Otway",28,3,36,16.666666,3.5714285,5,"21476",15.625,13.888889,20,5,5,26,32,"217031476",75.0,30,66.666664,1,92.85714
74,6,8.1081085,4,6.730769,3.4482758,4.040404,83.90804,7,94,"Moyne - East",73,3,87,3.030303,2.7027028,11,"21477",2.8846154,12.643678,92,3,3,66,104,"217041477",90.38461,99,92.92929,2,89.189186
109,18,16.513762,9,12.587413,8.403361,7.086614,65.54622,18,119,"Moyne - West",78,10,119,3.1496062,3.6697247,31,"21478",4.195804,26.05042,114,4,6,87,143,"217041478",83.21678,127,89.76378,4,79.81651
209,30,14.354067,49,17.110266,5.3639846,17.948717,75.47893,45,207,"Warrnambool - North",197,14,261,2.930403,5.263158,50,"21479",4.1825094,19.157087,216,8,11,168,263,"217041479",78.70722,273,79.12088,11,80.382774
138,18,13.043478,26,16.666666,2.739726,16.993464,83.561646,21,98,"Warrnambool - South",122,4,146,7.1895423,3.6231885,20,"21480",5.5555553,13.69863,116,11,7,115,126,"217041480",77.77778,153,75.81699,5,83.333336
