Moonee Ponds,{'15 - 19': [323, 195.06811145510835], '20 - 24': [896, 620.171875], '25 - 29': [1020, 1031.9882352941177], '30 - 34': [1087, 1389.3652253909843], '35 - 39': [957, 1630.1086729362592], '40 - 44': [913, 1692.7261774370209], '45 - 49': [889, 1665.9201349831271], '50 - 54': [845, 1588.4958579881657], '55 - 59': [754, 1401.3607427055704], '60 - 64': [575, 1212.5234782608695], '65 - 69': [528, 832.4829545454545], '70 - 74': [326, 598.6319018404907], '75 - 79': [291, 540.7491408934708], '80 - 84': [270, 428.0814814814815]}
Carlton,{'15 - 19': [744, 392.30645161290323], '20 - 24': [2660, 535.8894736842105], '25 - 29': [2223, 934.5555555555555], '30 - 34': [1357, 1247.5549005158439], '35 - 39': [722, 1370.1024930747922], '40 - 44': [486, 1319.679012345679], '45 - 49': [440, 1277.1045454545454], '50 - 54': [380, 1222.8342105263157], '55 - 59': [352, 1112.8181818181818], '60 - 64': [323, 1189.8235294117646], '65 - 69': [285, 1069.3368421052633], '70 - 74': [188, 848.4468085106383], '75 - 79': [172, 763.4069767441861], '80 - 84': [105, 759.1142857142858]}
Docklands,{'15 - 19': [122, 340.8524590163934], '20 - 24': [785, 674.2713375796178], '25 - 29': [1683, 1110.0843731431967], '30 - 34': [1354, 1563.3382570162482], '35 - 39': [775, 1730.1483870967743], '40 - 44': [462, 1775.3463203463205], '45 - 49': [403, 1875.6898263027294], '50 - 54': [409, 1863.1858190709047], '55 - 59': [361, 1623.7368421052631], '60 - 64': [246, 1698.138211382114], '65 - 69': [232, 1424.0603448275863], '70 - 74': [98, 1374.0], '75 - 79': [37, 1257.3783783783783], '80 - 84': [12, 498.5]}
East Melbourne,{'15 - 19': [31, 243.41935483870967], '20 - 24': [284, 718.9119718309859], '25 - 29': [597, 1369.5812395309883], '30 - 34': [566, 1630.9081272084807], '35 - 39': [357, 1843.5714285714287], '40 - 44': [226, 1872.4601769911505], '45 - 49': [227, 1881.4405286343613], '50 - 54': [220, 1974.090909090909], '55 - 59': [262, 1956.7748091603053], '60 - 64': [300, 1804.28], '65 - 69': [220, 1731.2], '70 - 74': [207, 1584.536231884058], '75 - 79': [87, 1480.9655172413793], '80 - 84': [54, 1295.2962962962963]}
Kensington (Vic.),{'15 - 19': [162, 202.83333333333334], '20 - 24': [675, 604.5333333333333], '25 - 29': [1346, 1137.0653789004457], '30 - 34': [1423, 1469.2642304989458], '35 - 39': [985, 1700.310659898477], '40 - 44': [713, 1674.4782608695652], '45 - 49': [604, 1611.3708609271523], '50 - 54': [435, 1463.8275862068965], '55 - 59': [404, 1258.3069306930693], '60 - 64': [333, 1003.7447447447447], '65 - 69': [270, 727.5222222222222], '70 - 74': [162, 579.2962962962963], '75 - 79': [135, 416.55555555555554], '80 - 84': [85, 385.88235294117646]}
Melbourne,{'15 - 19': [1212, 591.9389438943895], '20 - 24': [5271, 601.8548662492885], '25 - 29': [5962, 871.6343508889635], '30 - 34': [3807, 1221.0646178092986], '35 - 39': [1751, 1401.453455168475], '40 - 44': [882, 1530.9784580498865], '45 - 49': [683, 1551.0849194729137], '50 - 54': [532, 1617.827067669173], '55 - 59': [454, 1586.339207048458], '60 - 64': [383, 1415.0313315926892], '65 - 69': [299, 1093.448160535117], '70 - 74': [196, 1146.158163265306], '75 - 79': [86, 1046.6627906976744], '80 - 84': [56, 757.0535714285714]}
North Melbourne,{'15 - 19': [489, 325.3312883435583], '20 - 24': [2254, 585.3975155279503], '25 - 29': [2932, 987.7742155525239], '30 - 34': [2036, 1334.2691552062868], '35 - 39': [1215, 1530.0444444444445], '40 - 44': [936, 1517.542735042735], '45 - 49': [745, 1463.6577181208054], '50 - 54': [668, 1374.4236526946108], '55 - 59': [502, 1320.1772908366534], '60 - 64': [435, 1083.6344827586206], '65 - 69': [379, 930.868073878628], '70 - 74': [257, 810.9377431906614], '75 - 79': [168, 722.9642857142857], '80 - 84': [129, 442.6046511627907]}
Parkville,{'15 - 19': [591, 200.9560067681895], '20 - 24': [1252, 428.5399361022364], '25 - 29': [869, 941.566168009206], '30 - 34': [539, 1338.413729128015], '35 - 39': [286, 1535.2517482517483], '40 - 44': [148, 1629.1486486486488], '45 - 49': [183, 1645.688524590164], '50 - 54': [181, 1606.889502762431], '55 - 59': [138, 1745.1884057971015], '60 - 64': [182, 1559.3461538461538], '65 - 69': [146, 1337.2123287671234], '70 - 74': [122, 1071.27868852459], '75 - 79': [99, 1156.3131313131314], '80 - 84': [66, 739.5909090909091]}
South Yarra - West,{'15 - 19': [74, 219.32432432432432], '20 - 24': [353, 758.0679886685552], '25 - 29': [683, 1218.5651537335286], '30 - 34': [674, 1570.146884272997], '35 - 39': [383, 1735.0496083550913], '40 - 44': [288, 1631.888888888889], '45 - 49': [252, 1905.265873015873], '50 - 54': [261, 1996.7931034482758], '55 - 59': [246, 1992.959349593496], '60 - 64': [262, 1836.0229007633588], '65 - 69': [271, 1567.8118081180812], '70 - 74': [243, 1653.962962962963], '75 - 79': [170, 1664.7941176470588], '80 - 84': [94, 1536.0]}
Southbank,{'15 - 19': [330, 469.05454545454546], '20 - 24': [1815, 733.6099173553719], '25 - 29': [3132, 1116.6896551724137], '30 - 34': [2727, 1556.5738907224056], '35 - 39': [1393, 1729.545585068198], '40 - 44': [767, 1819.529335071708], '45 - 49': [553, 1793.625678119349], '50 - 54': [532, 1864.328947368421], '55 - 59': [498, 1783.078313253012], '60 - 64': [347, 1584.0489913544668], '65 - 69': [346, 1403.407514450867], '70 - 74': [188, 1441.037234042553], '75 - 79': [122, 1130.122950819672], '80 - 84': [49, 1102.204081632653]}
