Braybrook,819
Footscray,923
Maribyrnong,1082
Seddon - Kingsville,1228
West Footscray - Tottenham,982
Yarraville,1261
Bacchus Marsh,932
Hillside,966
Melton,782
Melton South,854
Melton West,862
Rockbank - Mount Cottrell,705
Taylors Hill,989
Burnside,831
Burnside Heights,949
Caroline Springs,1023
Hoppers Crossing - North,865
Hoppers Crossing - South,800
Laverton,932
Tarneit,953
Truganina,980
Werribee - South,908
Wyndham Vale,903
Point Cook - East,1217
Point Cook - North,1112
Point Cook - South,1190
Werribee - East,777
Werribee - West,905
Carrum Downs,837
Frankston,838
Frankston North,752
Frankston South,1045
Langwarrin,941
Seaford (Vic.),892
Skye - Sandhurst,1034
Dromana,867
Flinders,1157
Hastings - Somers,850
Mornington,931
Mount Eliza,1202
Mount Martha,1074
Point Nepean,879
Rosebud - McCrae,757
Somerville,911
Braeside,1124
Flemington Racecourse,574
Port Melbourne Industrial,899
